ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
bms1	553241	ZDB-GENE-060720-2	bms1	Human	9790	23505	BMS1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bnc2	559327	ZDB-GENE-030131-5784	bnc2	Human	54796	30988	BNC2	12	12.47	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
bnip1b	795732	ZDB-GENE-120203-6	bnip1b	Human	662	1082	BNIP1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bnip2	394197	ZDB-GENE-040109-6	bnip2	Human	663	1083	BNIP2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bnipl	100149386	ZDB-GENE-060503-81	bnipl	Human	149428	16976	BNIPL	7	7.35	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, Panther, Phylome, ZFIN
boc	334628	ZDB-GENE-030131-6560	boc	Human	91653	17173	BOC	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
bod1	767743	ZDB-GENE-060810-163	bod1	Human	91272	25114	BOD1	10	10.29	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
bod1l1	100332682	ZDB-GENE-111028-1	bod1l1	Human	259282	31792	BOD1L1	5	5.44	high	Yes	Yes	Compara, eggNOG, OrthoDB, Panther, ZFIN
bola1	445163	ZDB-GENE-040801-76	bola1	Human	51027	24263	BOLA1	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
bola3	445131	ZDB-GENE-040801-32	bola3	Human	388962	24415	BOLA3	12	12.54	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, ZFIN
bop1	777627	ZDB-GENE-030219-109	bop1	Human	23246	15519	BOP1	14	14.37	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bora	555606	ZDB-GENE-041114-165	bora	Human	79866	24724	BORA	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
borcs5	449650	ZDB-GENE-041010-83	borcs5	Human	118426	17950	BORCS5	14	14.4	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
borcs7	664759	ZDB-GENE-050913-112	borcs7	Human	119032	23516	BORCS7	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
borcs8	558180	ZDB-GENE-050208-757	borcs8	Human	729991	37247	BORCS8	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bpgm	436903	ZDB-GENE-040718-375	bpgm	Human	669	1093	BPGM	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bphl	402804	ZDB-GENE-170623-2	bphl	Human	670	1094	BPHL	10	10.46	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, ZFIN
bpifcl	100003132	ZDB-GENE-070912-360	bpifcl	Human	671	1095	BPI	9	9.05	high	Yes	Yes	eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
bpnt1	436627	ZDB-GENE-040718-46	bpnt1	Human	10380	1096	BPNT1	9	8.82	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
bptf	324479	ZDB-GENE-030131-3200	bptf	Human	2186	3581	BPTF	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
braf	403065	ZDB-GENE-040805-1	braf	Human	673	1097	BRAF	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brap	436739	ZDB-GENE-040718-168	brap	Human	8315	1099	BRAP	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brat1	678547	ZDB-GENE-060421-6989	brat1	Human	221927	21701	BRAT1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brca2	566758	ZDB-GENE-060510-3	brca2	Human	675	1101	BRCA2	10	10.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, ZFIN
brcc3	100333845	ZDB-GENE-100215-1	brcc3	Human	79184	24185	BRCC3	10	10.22	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brd4	570531	ZDB-GENE-030131-267	brd4	Human	23476	13575	BRD4	11	11.36	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brd7	406675	ZDB-GENE-040426-2687	brd7	Human	29117	14310	BRD7	14	14.37	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brd8	337414	ZDB-GENE-030722-10	brd8	Human	10902	19874	BRD8	12	12.26	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brd9	393245	ZDB-GENE-060502-1	brd9	Human	65980	25818	BRD9	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brdt	333996	ZDB-GENE-030131-5928	brdt	Human	676	1105	BRDT	11	11.28	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, Phylome, RoundUp, TreeFam, ZFIN
brf2	445142	ZDB-GENE-040801-43	brf2	Human	55290	17298	BRF2	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
bri3	100002236	ZDB-GENE-030131-3038	bri3	Human	25798	1109	BRI3	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
bri3bp	327046	ZDB-GENE-030131-5254	bri3bp	Human	140707	14251	BRI3BP	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bricd5	792755	ZDB-GENE-050208-85	bricd5	Human	283870	28309	BRICD5	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brinp2	561009	ZDB-GENE-070912-621	brinp2	Human	57795	13746	BRINP2	8	8.21	high	Yes	Yes	Compara, eggNOG, OrthoDB, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brip1	794038	ZDB-GENE-081107-11	brip1	Human	83990	20473	BRIP1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brk1	415187	ZDB-GENE-040625-77	brk1	Human	55845	23057	BRK1	13	13.47	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
brms1	791681	ZDB-GENE-030616-596	brms1	Human	25855	17262	BRMS1	9	9.31	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
brox	492786	ZDB-GENE-041114-137	brox	Human	148362	26512	BROX	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
brwd1	798858	ZDB-GENE-041111-120	brwd1	Human	54014	12760	BRWD1	10	10.41	high	Yes	Yes	Compara, Hieranoid, Homologene, OMA, OrthoDB, OrthoInspector, orthoMCL, Panther, TreeFam, ZFIN
brwd3	553209	ZDB-GENE-100921-43	brwd3	Human	254065	17342	BRWD3	11	11.31	high	Yes	Yes	Compara, eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam, ZFIN
bsdc1	794882	ZDB-GENE-040905-1	bsdc1	Human	55108	25501	BSDC1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bsg	337692	ZDB-GENE-030131-9638	bsg	Human	682	1116	BSG	12	12.37	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
bsnd	497323	ZDB-GENE-070705-548	bsnd	Human	7809	16512	BSND	8	8.47	high	Yes	Yes	Compara, eggNOG, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, ZFIN
bspry	559377	ZDB-GENE-060526-219	bspry	Human	54836	18232	BSPRY	14	14.37	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btaf1	565357	ZDB-GENE-021025-1	btaf1	Human	9044	17307	BTAF1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btbd16	565632	ZDB-GENE-100513-3	btbd16	Human	118663	26340	BTBD16	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btbd7	568372	ZDB-GENE-030131-4477	btbd7	Human	55727	18269	BTBD7	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btbd9	557659	ZDB-GENE-040704-39	btbd9	Human	114781	21228	BTBD9	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btc	503869	ZDB-GENE-050311-1	btc	Human	685	1121	BTC	13	13.44	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
btd	555376	ZDB-GENE-060825-186	btd	Human	686	1122	BTD	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
btf3	556625	ZDB-GENE-030131-8731	btf3	Human	689	1125	BTF3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btf3l4	393667	ZDB-GENE-040426-1650	btf3l4	Human	91408	30547	BTF3L4	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btg1	114432	ZDB-GENE-010726-1	btg1	Human	694	1130	BTG1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btg2	30079	ZDB-GENE-000210-15	btg2	Human	7832	1131	BTG2	13	13.36	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam, ZFIN
btg3	492479	ZDB-GENE-031113-19	btg3	Human	10950	1132	BTG3	7	6.97	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp
btg4	378946	ZDB-GENE-031008-1	btg4	Human	54766	13862	BTG4	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
btk	568653	ZDB-GENE-070531-1	btk	Human	695	1133	BTK	13	13.24	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
btr30	393394	ZDB-GENE-040426-1407	btr30	Human	90933	19013	TRIM41	2	2.1	moderate	Yes	No	Hieranoid, Panther
btr32	678629	ZDB-GENE-060421-3827	btr32	Human	6737	11312	TRIM21	5	4.98	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoInspector, RoundUp
bub1	100307076	ZDB-GENE-081104-75	bub1	Human	699	1148	BUB1	13	13.34	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
bub3	403012	ZDB-GENE-041010-210	bub3	Human	9184	1151	BUB3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bud31	445383	ZDB-GENE-040720-3	bud31	Human	8896	29629	BUD31	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bves	415107	ZDB-GENE-040624-11	bves	Human	11149	1152	BVES	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
bxdc2	402823	ZDB-GENE-060518-1	bxdc2	Human	55299	24170	BRIX1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
bysl	394081	ZDB-GENE-040426-1287	bysl	Human	705	1157	BYSL	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
bzw2	393892	ZDB-GENE-040426-746	bzw2	Human	28969	18808	BZW2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c13h10orf11	553730	ZDB-GENE-050522-285	lrmda	Human	83938	23405	LRMDA	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c18h3orf33	565816	ZDB-GENE-061121-2	c18h3orf33	Human	285315	26434	C3orf33	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c19h1orf109	286778	ZDB-GENE-021219-1	c19h1orf109	Human	54955	26039	C1orf109	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c1d	474329	ZDB-GENE-041024-8	c1d	Human	10438	29911	C1D	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c1galt1c1	324052	ZDB-GENE-030131-2772	c1galt1c1	Human	29071	24338	C1GALT1C1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c1qbp	334619	ZDB-GENE-050417-408	c1qbp	Human	708	1243	C1QBP	11	11.24	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c1qc	449803	ZDB-GENE-041010-51	c1qc	Human	714	1245	C1QC	10	10.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
c1ql4b	567540	ZDB-GENE-131127-59	c1ql4b	Human	338761	31416	C1QL4	13	13.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
c1qtnf1	550573	ZDB-GENE-050417-427	c1qtnf1	Human	114897	14324	C1QTNF1	14	14.34	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
c1qtnf2	572041	ZDB-GENE-030131-5133	c1qtnf2	Human	114898	14325	C1QTNF2	12	12.42	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, ZFIN
c1qtnf4	550397	ZDB-GENE-050417-198	c1qtnf4	Human	114900	14346	C1QTNF4	10	10.49	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, ZFIN
c1qtnf6a	565113	ZDB-GENE-080108-3	c1qtnf6a	Human	114904	14343	C1QTNF6	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
c1qtnf9	799425	ZDB-GENE-080303-33	c1qtnf9	Human	338872	28732	C1QTNF9	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
c1r	560927	ZDB-GENE-050913-24	c1r	Human	715	1246	C1R	3	3.6	high	Yes	Yes	OrthoFinder, Panther, ZFIN
c2cd2l	566488	ZDB-GENE-041019-1	c2cd2l	Human	9854	29000	C2CD2L	13	13.44	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
c2cd3	797081	ZDB-GENE-060503-104	c2cd3	Human	26005	24564	C2CD3	10	10.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
c2cd5	393585	ZDB-GENE-041114-193	c2cd5	Human	9847	29062	C2CD5	10	10.22	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
c4	566261	ZDB-GENE-030131-5697	c4	Human	721	1324	C4B	10	10.06	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
c5	565774	ZDB-GENE-120510-2	c5	Human	727	1331	C5	12	12.46	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, TreeFam, ZFIN
c8b	793127	ZDB-GENE-070912-163	c8b	Human	732	1353	C8B	14	14.27	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam, ZFIN
c8g	393837	ZDB-GENE-040426-1898	c8g	Human	733	1354	C8G	11	11.19	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, Phylome, RoundUp, TreeFam, ZFIN
c9	554141	ZDB-GENE-050522-442	c9	Human	735	1358	C9	12	12.4	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam, ZFIN
ca10a	641327	ZDB-GENE-051030-123	ca10a	Human	56934	1369	CA10	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
ca12	100537787	ZDB-GENE-080815-4	ca12	Human	771	1371	CA12	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
ca14	567897	ZDB-GENE-051030-57	ca14	Human	23632	1372	CA14	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ca2	387526	ZDB-GENE-031219-5	ca2	Human	377677	14914	CA13	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
ca5a	569989	ZDB-GENE-080220-57	ca5a	Human	11238	1378	CA5B	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ca6	100006448	ZDB-GENE-030131-7091	ca6	Human	765	1380	CA6	13	13.24	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
ca7	564201	ZDB-GENE-040426-1786	ca7	Human	766	1381	CA7	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
ca8	550233	ZDB-GENE-050417-26	ca8	Human	767	1382	CA8	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
ca9	566612	ZDB-GENE-080818-5	ca9	Human	768	1383	CA9	10	10.33	high	Yes	Yes	eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
cab39l	492361	ZDB-GENE-041114-204	cab39l	Human	81617	20290	CAB39L	13	13.25	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
cables1	100126070	ZDB-GENE-070912-509	cables1	Human	91768	25097	CABLES1	7	7.55	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, Panther, ZFIN
cabp7b	556082	ZDB-GENE-060526-366	cabp7b	Human	164633	20834	CABP7	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
cachd1	794807	ZDB-GENE-100819-3	cachd1	Human	57685	29314	CACHD1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
cacna1c	170581	ZDB-GENE-020129-1	cacna1c	Human	775	1390	CACNA1C	13	13.44	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
cacna1eb	567702	ZDB-GENE-070705-133	cacna1eb	Human	777	1392	CACNA1E	10	10.22	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
cacna1g	563904	ZDB-GENE-090514-2	cacna1g	Human	8913	1394	CACNA1G	9	9.41	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, TreeFam, ZFIN
cacna2d1a	561434	ZDB-GENE-041210-215	cacna2d1a	Human	781	1399	CACNA2D1	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
