ZebrafishGeneID	ZebrafishGeneID.1	ZFINID	ZebrafishSymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
dhx40	570225	ZDB-GENE-080507-1	dhx40	Mouse	67487	1914737	Dhx40	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dhx57	555250	ZDB-GENE-030131-4078	dhx57	Mouse	106794	2147067	Dhx57	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dhx58	100148871	ZDB-GENE-120612-3	dhx58	Mouse	80861	1931560	Dhx58	13	13.49	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
dhx8	606595	ZDB-GENE-050809-39	dhx8	Mouse	217207	1306823	Dhx8	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dhx9	568043	ZDB-GENE-070912-171	dhx9	Mouse	13211	108177	Dhx9	11	11.49	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, Panther, Phylome, RoundUp, TreeFam, ZFIN
diaph2	556029	ZDB-GENE-090115-1	diaph2	Mouse	54004	1858500	Diaph2	8	8.41	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, Panther, TreeFam, ZFIN
diaph3	445230	ZDB-GENE-040801-144	diaph3	Mouse	56419	1927222	Diaph3	6	6.55	high	Yes	Yes	Compara, OMA, OrthoDB, OrthoFinder, Panther, ZFIN
dicer1	324724	ZDB-GENE-030131-3445	dicer1	Mouse	192119	2177178	Dicer1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dido1	553277	ZDB-GENE-030131-6117	dido1	Mouse	23856	1344352	Dido1	4	4.01	moderate	Yes	No	OrthoDB, OrthoFinder, orthoMCL, Panther
dimt1l	445162	ZDB-GENE-040801-75	dimt1l	Mouse	66254	1913504	Dimt1	10	9.74	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dio1	799937	ZDB-GENE-030328-41	dio1	Mouse	13370	94896	Dio1	9	9.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
dio2	352937	ZDB-GENE-030327-4	dio2	Mouse	13371	1338833	Dio2	10	10.32	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
dio3b	798872	ZDB-GENE-070705-53	dio3b	Mouse	107585	1306782	Dio3	4	4.51	high	Yes	Yes	Homologene, OrthoDB, OrthoFinder, ZFIN
dip2a	100332244	ZDB-GENE-091204-2	dip2a	Mouse	64451	2385920	Dip2a	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dis3	100003553	ZDB-GENE-080213-3	dis3	Mouse	72662	1919912	Dis3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dis3l	560362	ZDB-GENE-070209-95	dis3l	Mouse	213550	2143272	Dis3l	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dis3l2	566106	ZDB-GENE-070705-171	dis3l2	Mouse	208718	2442555	Dis3l2	10	10.62	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, ZFIN
disc1	407621	ZDB-GENE-090122-1	disc1	Mouse	244667	2447658	Disc1	7	7.3	high	Yes	Yes	Compara, eggNOG, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
disp1	619201	ZDB-GENE-030911-7	disp1	Mouse	68897	1916147	Disp1	13	13.39	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
disp2	405793	ZDB-GENE-030915-1	disp2	Mouse	214240	2388733	Disp2	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dkc1	613144	ZDB-GENE-031118-120	dkc1	Mouse	245474	1861727	Dkc1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dkk1b	30197	ZDB-GENE-990708-5	dkk1b	Mouse	13380	1329040	Dkk1	10	10.41	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dkk2	792404	ZDB-GENE-080204-14	dkk2	Mouse	56811	1890663	Dkk2	9	9.28	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dlat	324201	ZDB-GENE-030131-2921	dlat	Mouse	235339	2385311	Dlat	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dldh	399479	ZDB-GENE-040120-4	dldh	Mouse	13382	107450	Dld	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dlec1	555583	ZDB-GENE-091204-65	dlec1	Mouse	320256	2443671	Dlec1	10	10.43	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam, ZFIN
dlg2	497638	ZDB-GENE-050221-3	dlg2	Mouse	23859	1344351	Dlg2	12	12.43	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
dlg3	564081	ZDB-GENE-050208-93	dlg3	Mouse	53310	1888986	Dlg3	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dlgap3	557556	ZDB-GENE-060503-413	dlgap3	Mouse	242667	3039563	Dlgap3	10	9.88	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
dlgap5	447853	ZDB-GENE-040912-160	dlgap5	Mouse	218977	2183453	Dlgap5	9	8.71	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
dlk2	100150992	ZDB-GENE-081107-4	dlk2	Mouse	106565	2146838	Dlk2	14	14.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dll4	563920	ZDB-GENE-041014-73	dll4	Mouse	54485	1859388	Dll4	14	14.37	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dlst	368262	ZDB-GENE-030326-1	dlst	Mouse	78920	1926170	Dlst	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dlx1a	30568	ZDB-GENE-990415-48	dlx1a	Mouse	13390	94901	Dlx1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dlx2b	30557	ZDB-GENE-980526-18	dlx2b	Mouse	13392	94902	Dlx2	10	10.35	moderate	Yes	No	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoInspector, Panther, Phylome, TreeFam, ZFIN
dlx3b	30585	ZDB-GENE-980526-280	dlx3b	Mouse	13393	94903	Dlx3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dlx5a	30569	ZDB-GENE-990415-49	dlx5a	Mouse	13395	101926	Dlx5	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dlx6a	30586	ZDB-GENE-980526-448	dlx6a	Mouse	13396	101927	Dlx6	12	12.54	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, ZFIN
dmap1	393225	ZDB-GENE-040426-748	dmap1	Mouse	66233	1913483	Dmap1	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dmc1	553953	ZDB-GENE-060331-93	dmc1	Mouse	13404	105393	Dmc1	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dmd	83773	ZDB-GENE-010426-1	dmd	Mouse	13405	94909	Dmd	8	8.48	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, Panther, RoundUp, ZFIN
dmgdh	100141496	ZDB-GENE-080227-8	dmgdh	Mouse	74129	1921379	Dmgdh	9	9.3	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
dmrt1	402923	ZDB-GENE-050511-1	dmrt1	Mouse	50796	1354733	Dmrt1	12	12.43	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, ZFIN
dmrt3a	450035	ZDB-GENE-021220-3	dmrt3a	Mouse	240590	2449470	Dmrt3	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dmrta2	474350	ZDB-GENE-041116-2	dmrta2	Mouse	242620	2653629	Dmrta2	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dmtf1	436938	ZDB-GENE-040718-413	dmtf1	Mouse	23857	1344415	Dmtf1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dmtn	565367	ZDB-GENE-030131-9438	dmtn	Mouse	13829	99670	Dmtn	12	12.35	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam, ZFIN
dmxl2	378958	ZDB-GENE-031007-6	dmxl2	Mouse	235380	2444630	Dmxl2	9	9.21	high	Yes	Yes	Compara, eggNOG, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dna2	559535	ZDB-GENE-090313-71	dna2	Mouse	327762	2443732	Dna2	10	10.31	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnah1	100317899	ZDB-GENE-081015-3	dnah1	Mouse	110084	107721	Dnah1	12	11.72	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
dnah12	799461	ZDB-GENE-090311-9	dnah12	Mouse	110083	107720	Dnah12	10	10.32	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam, ZFIN
dnah7l	100148193	ZDB-GENE-030616-623	dnah6	Mouse	330355	107744	Dnah6	11	10.94	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
dnaja1	323922	ZDB-GENE-030131-2642	dnaja1	Mouse	15502	1270129	Dnaja1	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnajb11	386709	ZDB-GENE-031113-9	dnajb11	Mouse	67838	1915088	Dnajb11	12	12.29	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajb13	572669	ZDB-GENE-040910-4	dnajb13	Mouse	69387	1916637	Dnajb13	9	9.36	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, ZFIN
dnajb14	792752	ZDB-GENE-061110-138	dnajb14	Mouse	70604	1917854	Dnajb14	13	13.3	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajb2	561686	ZDB-GENE-061013-537	dnajb2	Mouse	56812	1928739	Dnajb2	8	8.18	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Phylome, TreeFam, ZFIN
dnajb4	445061	ZDB-GENE-040801-192	dnajb4	Mouse	67035	1914285	Dnajb4	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc1	553324	ZDB-GENE-061103-529	dnajc1	Mouse	13418	103268	Dnajc1	9	9.3	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
dnajc10	557858	ZDB-GENE-070327-1	dnajc10	Mouse	66861	1914111	Dnajc10	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc11a	322953	ZDB-GENE-030131-1673	dnajc11a	Mouse	230935	2443386	Dnajc11	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnajc12	797196	ZDB-GENE-070801-3	dnajc12	Mouse	30045	1353428	Dnajc12	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
dnajc14	100535820	ZDB-GENE-121105-7	dnajc14	Mouse	74330	1921580	Dnajc14	9	9.35	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, ZFIN
dnajc15	445082	ZDB-GENE-040801-216	dnajc15	Mouse	66148	1913398	Dnajc15	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc17	393216	ZDB-GENE-040426-894	dnajc17	Mouse	69408	1916658	Dnajc17	6	5.95	high	Yes	Yes	Compara, Homologene, OMA, OrthoFinder, Panther, Phylome
dnajc18	559928	ZDB-GENE-030131-8019	dnajc18	Mouse	76594	1923844	Dnajc18	13	13.37	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc19	393734	ZDB-GENE-040426-1730	dnajc19	Mouse	67713	1914963	Dnajc19	10	10.33	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dnajc2	403080	ZDB-GENE-040426-1912	dnajc2	Mouse	22791	99470	Dnajc2	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc21	336984	ZDB-GENE-030131-8928	dnajc21	Mouse	78244	1925371	Dnajc21	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
dnajc22	796659	ZDB-GENE-090313-196	dnajc22	Mouse	72778	1920028	Dnajc22	13	13.39	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc24	393424	ZDB-GENE-040426-1153	dnajc24	Mouse	99349	1919522	Dnajc24	11	10.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dnajc25	100319235	ZDB-GENE-081104-137	dnajc25	Mouse	72429	1919679	Dnajc25	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnajc27	402784	ZDB-GENE-081022-93	dnajc27	Mouse	217378	2443036	Dnajc27	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc28	550341	ZDB-GENE-050417-130	dnajc28	Mouse	246738	2181053	Dnajc28	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnajc30b	565734	ZDB-GENE-131121-532	dnajc30b	Mouse	66114	1913364	Dnajc30	11	11.23	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc4	324373	ZDB-GENE-030131-3093	dnajc4	Mouse	57431	1927346	Dnajc4	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc5b	571681	ZDB-GENE-050413-1	dnajc5b	Mouse	66326	1913576	Dnajc5b	10	10.34	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc6	796345	ZDB-GENE-080104-2	dnajc6	Mouse	72685	1919935	Dnajc6	10	10.31	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam, ZFIN
dnajc7	406579	ZDB-GENE-040426-2483	dnajc7	Mouse	56354	1928373	Dnajc7	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnajc8	724001	ZDB-GENE-030131-66	dnajc8	Mouse	68598	1915848	Dnajc8	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnajc9	436706	ZDB-GENE-040718-130	dnajc9	Mouse	108671	1915326	Dnajc9	10	10.21	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnali1	567632	ZDB-GENE-080204-7	dnali1	Mouse	75563	1922813	Dnali1	12	12.29	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnase1	436947	ZDB-GENE-040718-423	dnase1	Mouse	13419	103157	Dnase1	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnase2	100000399	ZDB-GENE-010724-16	dnase2	Mouse	13423	1329019	Dnase2a	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
dnase2b	562996	ZDB-GENE-090824-2	dnase2b	Mouse	56629	1913283	Dnase2b	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnd1	373074	ZDB-GENE-030828-4	dnd1	Mouse	213236	2447763	Dnd1	11	11.26	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dner	100332110	ZDB-GENE-130502-1	dner	Mouse	227325	2152889	Dner	10	10.28	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, orthoMCL, RoundUp, TreeFam, ZFIN
dnlz	791166	ZDB-GENE-070112-1482	dnlz	Mouse	52838	106559	Dnlz	11	11.23	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnm1l	393896	ZDB-GENE-040426-1556	dnm1l	Mouse	74006	1921256	Dnm1l	15	15.3	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnm2a	559334	ZDB-GENE-050913-84	dnm2a	Mouse	13430	109547	Dnm2	13	13.25	high	Yes	Yes	Compara, eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnm3a	557996	ZDB-GENE-040724-76	dnm3a	Mouse	103967	1341299	Dnm3	9	9.29	high	Yes	Yes	eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dnmbp	100005174	ZDB-GENE-101026-2	dnmbp	Mouse	71972	1917352	Dnmbp	13	13.38	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dnmt1	30430	ZDB-GENE-990714-15	dnmt1	Mouse	13433	94912	Dnmt1	13	13.38	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
dnmt3bb.1	317744	ZDB-GENE-050314-1	dnmt3bb.1	Mouse	13436	1261819	Dnmt3b	12	11.76	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
dnpep	393122	ZDB-GENE-040426-852	dnpep	Mouse	13437	1278328	Dnpep	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnph1	561810	ZDB-GENE-081107-5	dnph1	Mouse	381101	3039376	Dnph1	14	14.29	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dnttip2	564961	ZDB-GENE-080513-5	dnttip2	Mouse	99480	1923173	Dnttip2	8	8.32	high	Yes	Yes	Compara, eggNOG, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
doc2b	100006713	ZDB-GENE-090615-1	doc2b	Mouse	13447	1100497	Doc2b	6	6.07	high	Yes	Yes	Compara, Homologene, OrthoDB, OrthoFinder, Panther, RoundUp
doc2d	100002795	ZDB-GENE-081104-451	doc2d	Mouse	60425	1926250	Doc2g	6	5.88	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
dock1	572187	ZDB-GENE-080108-5	dock1	Mouse	330662	2429765	Dock1	8	8.24	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoFinder, orthoMCL, Panther, Phylome, ZFIN
dock10	100000949	ZDB-GENE-130530-773	dock10	Mouse	210293	2146320	Dock10	13	13.39	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam, ZFIN
dock11	799686	ZDB-GENE-060503-196	dock11	Mouse	75974	1923224	Dock11	12	11.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
dock3	100536057	ZDB-GENE-100624-1	dock3	Mouse	208869	2429763	Dock3	11	11.22	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam, ZFIN
dock4b	654774	ZDB-GENE-060130-74	dock4b	Mouse	238130	1918006	Dock4	13	13.3	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam, ZFIN
dock5	571688	ZDB-GENE-080108-4	dock5	Mouse	68813	2652871	Dock5	9	8.81	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
dock6	553459	ZDB-GENE-120411-11	dock6	Mouse	319899	1914789	Dock6	6	6.29	high	Yes	Yes	Compara, eggNOG, orthoMCL, Panther, TreeFam, ZFIN
dock7	568817	ZDB-GENE-050302-15	dock7	Mouse	67299	1914549	Dock7	12	12.39	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam, ZFIN
