Fly (ref)	Fly_FF	Fish_FF	Fly_FM	Mouse_FM	Fly_FH	Human_FH
sd	sd	kctd5a	sd	Tead1	sd	TEAD1
inc	inc	ggnbp2	inc	Kctd5	inc	KCTD5
CG2182	CG2182	ptpn6	CG2182	Ggnbp2	CG2182	GGNBP2
csw	csw	rasa3	csw	Ptpn11	csw	PTPN11
Gprk1			Gprk1	Grk3	Gprk1	GRK3
RasGAP1	RasGAP1	pds5a	RasGAP1	Rasa3	RasGAP1	RASA3
pds5	pds5	huwe1	pds5	Pds5a	pds5	PDS5B
HUWE1	HUWE1	u2af1	HUWE1	Huwe1	HUWE1	HUWE1
U2af38	U2af38	mta2	U2af38	U2af1	U2af38	U2AF1
MTA1-like	MTA1-like	tcf25	MTA1-like	Mta3	MTA1-like	MTA3
Nulp1	Nulp1	clip1a	Nulp1	Tcf25	Nulp1	TCF25
CLIP-190	CLIP-190	thoc2	CLIP-190	Clip2	CLIP-190	CLIP1
tho2	tho2	setd1ba	tho2	Thoc2	tho2	THOC2
Set1	Set1	magoh	Set1	Setd1a	Set1	SETD1A
mago	mago	tbpl1	mago	Magohb	mago	MAGOHB
Trf2	Trf2	nfat5a	Trf2	Tbpl1	Trf2	TBPL1
NFAT	NFAT	lrrc59	NFAT	Nfat5	NFAT	NFAT5
CG3408	CG3408	sirt1	CG3408	Lrrc59	CG3408	LRRC59
Sirt1	Sirt1	znf207b	Sirt1	Sirt1	Sirt1	SIRT1
BuGZ	BuGZ	nkrf	BuGZ	Zfp207	BuGZ	ZNF207
CG31301	CG31301	ddx18	CG31301	Nkrf	CG31301	NKRF
pit	pit	tcea2	pit	Ddx18	pit	DDX18
TfIIS	TfIIS	mad2l1	TfIIS	Tcea1	TfIIS	TCEA1
mad2	mad2	phf19	mad2	Mad2l1	mad2	MAD2L1
Pcl	Pcl	gnas	Pcl	Phf19	Pcl	PHF19
Galphas	Galphas	mvk	Galphas	Gnal	Galphas	GNAL
CG33671	CG33671	ddx23	CG33671	Mvk	CG33671	MVK
CG10333	CG10333	bcas2	CG10333	Ddx23	CG10333	DDX23
BCAS2	BCAS2	ythdf1	BCAS2	Bcas2	BCAS2	BCAS2
Ythdf	Ythdf	rnps1	Ythdf	Ythdf1	Ythdf	YTHDF2
RnpS1	RnpS1	pnn	RnpS1	Rnps1	RnpS1	RNPS1
Pnn	Pnn	csrnp2	Pnn	Pnn	Pnn	PNN
Axud1	Axud1	lypla2	Axud1	Csrnp1	Axud1	CSRNP1
CG18815	CG18815	eif4e2rs1	CG18815	Lypla2	CG18815	LYPLA1
Claspin			Claspin	Clspn	Claspin	CLSPN
eIF4EHP	eIF4EHP	prkrip1	eIF4EHP	Eif4e2	eIF4EHP	EIF4E2
CG8441	CG8441	dmap1	CG8441	Prkrip1	CG8441	PRKRIP1
DMAP1	DMAP1	mier1b	DMAP1	Dmap1	DMAP1	DMAP1
CG1620	CG1620	papolg	CG1620	Mier1	CG1620	MIER1
hrg	hrg	leng8	hrg	Papolg	hrg	PAPOLG
CG6700	CG6700	smarcd1	CG6700	Leng8	CG6700	LENG8
Bap60	Bap60	mcm4	Bap60	Smarcd1	Bap60	SMARCD1
dpa	dpa	clns1a	dpa	Mcm4	dpa	MCM4
CG9915			CG9915	Iws1	CG9915	IWS1
icln	icln	aldh4a1	icln	Clns1a	icln	CLNS1A
P5CDh1	P5CDh1	birc5b	P5CDh1	Aldh4a1	P5CDh1	ALDH4A1
Det	Det	sart3	Det	Birc5	Det	BIRC5
CG1789	Rnp4F	ncbp2	CG1789	Utp11	CG1789	UTP11
Rnp4F			Rnp4F	Sart3	Rnp4F	SART3
Cbp20	Cbp20	yy1a	Cbp20	Ncbp2	Cbp20	NCBP2
pho	pho	arih1l	pho	Yy1	pho	YY1
CanA-14F			CanA-14F	Ppp3cb		
ari-1	ari-1	bicd1a	ari-1	Arih1	ari-1	ARIH1
BicD	BicD	ruvbl2	BicD	Bicd2	BicD	BICD2
rept	rept	ppp2r5cb	rept	Ruvbl2	rept	RUVBL2
wrd	wrd	fbxw11b	wrd	Ppp2r5d	wrd	PPP2R5D
slmb	slmb	cbx3a	slmb	Btrc	slmb	BTRC
Haspin					Haspin	HASPIN
HP1b	HP1b	dhx15	HP1b	Cbx1	HP1b	CBX3
Dhx15	Dhx15	pigb	Dhx15	Dhx15	Dhx15	DHX15
PIG-B	PIG-B	aff2	PIG-B	Pigb	PIG-B	PIGB
lilli	lilli	kcmf1	lilli	Aff3	lilli	AFF4
Kcmf1	Kcmf1	arl6ip1	Kcmf1	Kcmf1	Kcmf1	KCMF1
Arl6IP1	Arl6IP1	usp36	Arl6IP1	Arl6ip1	Arl6IP1	ARL6IP1
scny	scny	med19a	scny	Usp36	scny	USP36
MED19	MED19	ufd1l	MED19	Med19	MED19	MED19
Ufd1-like	Ufd1-like	pofut1			Ufd1-like	UFD1
O-fut1	O-fut1	rsrc2	O-fut1	Pofut1	O-fut1	POFUT1
CG6340	CG6340	ap3d1	CG6340	Rsrc2	CG6340	RSRC2
g	g	ndel1b	g	Ap3d1	g	AP3D1
su(Hw)					su(Hw)	ZNF358
nudE	nudE		nudE	Ndel1	nudE	NDEL1
