FlyGeneID	ZebrafishGeneID	MouseGeneID	HumanSymbol
CG31643	fastkd1	Fastkd1	FASTKD1
CG31648	cox11	Cox11	COX11
CG31650	rcn2	Rcn2	RCN2
CG31694	ifrd1	Ifrd1	IFRD1
CG31729	atp9b	Atp9b	ATP9B
CG31743	chst11	Chst11	CHST11
CG31759	pde12	Pde12	PDE12
CG31803	rsph9	Rsph9	RSPH9
CG31812	tsen2	Tsen2	TSEN2
CG31855	dda1	Dda1	DDA1
CG31917	znhit1	Znhit1	ZNHIT1
CG31922	zmat5	Zmat5	ZMAT5
CG31935	rab3gap1	Rab3gap1	RAB3GAP1
CG31937	dhrs7	Dhrs7	DHRS7
CG31957	eif1ad	Eif1ad	EIF1AD
CG3198	luc7l3	Luc7l3	LUC7L3
CG32052	smpdl3b	Smpdl3b	SMPDL3B
CG32069	ier3ip1	Ier3ip1	IER3IP1
CG32075	las1l	Las1l	LAS1L
CG32099	aasdhppt	Aasdhppt	AASDHPPT
CG32104	rpap1	Rpap1	RPAP1
CG32109	aagab	Aagab	AAGAB
CG32147	pgpep1	Pgpep1	PGPEP1
CG32202	tfpt	Tfpt	TFPT
CG3224	znf593	Zfp593	ZNF593
CG3226	cacybp	Cacybp	CACYBP
CG32264	phactr2	Phactr2	PHACTR2
CG32281	trmt5	Trmt5	TRMT5
CG32344	ddx54	Ddx54	DDX54
CG32392	rsph3	Rsph3a	RSPH3
CG32409	rrs1	Rrs1	RRS1
CG32425	c2cd3	C2cd3	C2CD3
CG32486	cyhr1	Cyhr1	CYHR1
CG32512	tmem205	Tmem205	TMEM205
CG32533	dhx34	Dhx34	DHX34
CG32536	ebag9	Ebag9	EBAG9
CG32576	golt1bb	Golt1b	GOLT1B
CG3262	nubpl	Nubpl	NUBPL
CG32638	agtrap	Agtrap	AGTRAP
CG32647	dgcr2	Dgcr2	DGCR2
CG32668	armc2	Armc2	ARMC2
CG32795	tmem120a	Tmem120a	TMEM120A
CG32850	rnf11b	Rnf11	RNF11
CG3294	zrsr2	Zrsr2	ZRSR2
CG3295	rmnd5b	Rmnd5b	RMND5B
CG33051	polr3gla	Polr3gl	POLR3GL
CG33082	rpp21	Rpp21	RPP21
CG33090	gba2	Gba2	GBA2
CG33129	tmem214	Tmem214	TMEM214
CG33144	rnf144aa	Rnf144a	RNF144A
CG33172	wdr6	Wdr6	WDR6
CG33203	paqr4a	Paqr4	PAQR4
CG33230	setd4	Setd4	SETD4
CG33260	tsen34	Tsen34	TSEN34
CG33298	atp10d	Atp10d	ATP10D
CG33303	rpn1	Rpn1	RPN1
CG3335	rbm19	Rbm19	RBM19
CG33506	tmem177	Tmem177	TMEM177
CG3356	ube3c	Ube3c	UBE3C
CG33635	sft2d3	Sft2d3	SFT2D3
CG33671	mvk	Mvk	MVK
CG33774	ost4	Ost4	OST4
CG33785	polr3k	Polr3k	POLR3K
CG33932	tmem203	Tmem203	TMEM203
CG33969	fbxw4	Fbxw4	FBXW4
CG33977	dpm3	Dpm3	DPM3
CG33981	anapc13	Anapc13	ANAPC13
CG34001	chtf8	Chtf8	CHTF8
CG3402	tax1bp3	Tax1bp3	TAX1BP3
CG34039	commd4	Commd4	COMMD4
CG3408	lrrc59	Lrrc59	LRRC59
CG34125	dazap2	Dazap2	DAZAP2
CG34126	uhrf1bp1l	Uhrf1bp1l	UHRF1BP1L
CG34133	wdr44	Wdr44	WDR44
CG34150	lyrm7	Lyrm7	LYRM7
CG34172	cox7a2a	Cox7a2	COX7A2
CG34174	cinp	Cinp	CINP
CG34183	rpap2	Rpap2	RPAP2
CG34195	mettl6	Mettl6	METTL6
CG34213	nr2c2ap	Nr2c2ap	NR2C2AP
CG34229	lyrm2	Lyrm2	LYRM2
CG3430	mcmbp	Mcmbp	MCMBP
CG3436	snrnp40	Snrnp40	SNRNP40
CG34408	ralgapb	Ralgapb	RALGAPB
CG3448	xrcc4	Xrcc4	XRCC4
CG3500	tex261	Tex261	TEX261
CG3511	ppwd1	Ppwd1	PPWD1
CG3527	emg1	Emg1	EMG1
CG3529	tom1l2	Tom1l2	TOM1L2
CG3542	prpf40a	Prpf40a	PRPF40A
CG3556	tcn2	Tcn2	TCN2
CG3587	kti12	Kti12	KTI12
CG3589	tysnd1	Tysnd1	TYSND1
CG3603	hsd17b8	H2-Ke6	HSD17B8
CG3631	fam20b	Fam20b	FAM20B
CG3632	mtmr3	Mtmr3	MTMR3
CG3634	st7l	St7l	ST7L
CG3645	dus1l	Dus1l	DUS1L
CG3652	yipf6	Yipf6	YIPF6
CG3662	itm2ba	Itm2b	ITM2B
CG3699	hsd17b14	Hsd17b14	HSD17B14
CG3702	clptm1	Clptm1	CLPTM1
CG3704	gpn1	Gpn1	GPN1
CG3709	pus10	Pus10	PUS10
CG3732	zranb2	Zranb2	ZRANB2
CG3744	dpp9	Dpp9	DPP9
CG3756	polr1c	Polr1c	POLR1C
CG3769	dync2li1	Dync2li1	DYNC2LI1
CG3792	mpdu1b	Mpdu1	MPDU1
CG3793	lcmt1	Lcmt1	LCMT1
CG3803	cox15	Cox15	COX15
CG3808	trmt2a	Trmt2a	TRMT2A
CG3815	phf12a	Phf12	PHF12
CG3817	rrp15	Rrp15	RRP15
CG3842	rdh12	Rdh11	RDH11
CG3894	neurl2	Neurl2	NEURL2
CG3909	wdr61	Wdr61	WDR61
CG3918	srek1ip1	Srek1ip1	SREK1IP1
CG3961	acsl5	Acsl5	ACSL5
CG40045	ube2g1a	Ube2g1	UBE2G1
CG4022	pih1d2	Pih1d2	PIH1D2
CG4025	dram2b	Dram2	DRAM2
CG4036	alkbh4	Alkbh4	ALKBH4
CG4038	gar1	Gar1	GAR1
CG4041	tbck	Tbck	TBCK
CG40439	commd8	Commd8	COMMD8
CG4045	mettl1	Mettl1	METTL1
CG4049	rad54l2	Rad54l2	RAD54L2
CG4069	klhdc4	Klhdc4	KLHDC4
CG4101	manbal	Manbal	MANBAL
CG41099	ankfy1	Ankfy1	ANKFY1
CG4119	rbm25b	Rbm25	RBM25
CG41520	angpt1	Angpt1	ANGPT1
CG4186	chchd7	Chchd7	CHCHD7
CG4210	sat2b	Sat2	SAT2
CG42232	mki67	Mki67	MKI67
CG42233	dcaf5	Dcaf5	DCAF5
CG42271	inpp4aa	Inpp4a	INPP4A
CG4230	hax1	Hax1	HAX1
CG42319	pdlim2	Pdlim2	PDLIM2
CG42324	tjap1	Tjap1	TJAP1
CG42456	dpm2	Dpm2	DPM2
CG42496	cox19	Cox19	COX19
CG42540	stom	Stom	STOM
CG42542	tmem165	Tmem165	TMEM165
CG42554	nrbf2b	Nrbf2	NRBF2
CG42588	gtf3c2	Gtf3c2	GTF3C2
CG4266	scaf4a	Scaf4	SCAF4
CG42668	osbpl5	Osbpl5	OSBPL5
CG42672	kidins220b	Kidins220	KIDINS220
CG42673	nos1apa	Nos1ap	NOS1AP
CG42741	klf8	Klf8	KLF8
CG4278	nif3l1	Nif3l1	NIF3L1
CG42795	tbc1d30	Tbc1d30	TBC1D30
CG4293	ergic2	Ergic2	ERGIC2
CG4332	clptm1l	Clptm1l	CLPTM1L
CG43322	dnajc28	Dnajc28	DNAJC28
CG43346	ndufaf2	Ndufaf2	NDUFAF2
CG43367	nbeal1	Nbeal1	NBEAL1
CG4364	pes	Pes1	PES1
CG4390	esd	Esd	ESD
CG44243	lipt1	Lipt1	LIPT1
CG44249	rnpc3	Rnpc3	RNPC3
CG4452	fam76b	Fam76b	FAM76B
CG44838	ostf1	Ostf1	OSTF1
CG4497	fam122b	Fam122b	FAM122B
CG45105	sdccag8	Sdccag8	SDCCAG8
CG4511	txndc9	Txndc9	TXNDC9
CG4537	cript	Cript	CRIPT
CG4538	clpxb	Clpx	CLPX
CG4552	tbc1d23	Tbc1d23	TBC1D23
CG4553	ngrn	Ngrn	NGRN
CG4557	tmf1	Tmf1	TMF1
CG4565	setmar	Setmar	SETMAR
CG4587	cacna2d4b	Cacna2d4	CACNA2D4
CG4593	ccdc25	Ccdc25	CCDC25
CG4603	yod1	Yod1	YOD1
CG4610	mto1	Mto1	MTO1
CG4611	ptcd1	Ptcd1	PTCD1
CG4615	mmd	Mmd	MMD
CG4617	hmgxb4a	Hmgxb4	HMGXB4
CG4622	zcchc8	Zcchc8	ZCCHC8
CG4627	tmem186	Tmem186	TMEM186
CG4678	cpm	Cpm	CPM
CG4679	ptcd3	Ptcd3	PTCD3
CG4681	tex9	Tex9	TEX9
CG4709	zgpat	Zgpat	ZGPAT
CG4743	slc25a26	Slc25a26	SLC25A26
CG4751	mpnd	Mpnd	MPND
CG4752	oplah	Oplah	OPLAH
CG4806	rbm28	Rbm28	RBM28
CG4813	rnf220a	Rnf220	RNF220
CG4825	ptdss1a	Ptdss1	PTDSS1
CG4849	eftud2	Eftud2	EFTUD2
CG4858	nubp2	Nubp2	NUBP2
CG4866	imp3	Imp3	IMP3
CG4882	mrps27	Mrps27	MRPS27
CG4901	dhx33	Dhx33	DHX33
CG4908	bcs1l	Bcs1l	BCS1L
CG4935	wdr83	Wdr83	WDR83
CG4942	cox18	Cox18	COX18
CG4968	otub1a	Otub1	OTUB1
CG4975	atxn10	Atxn10	ATXN10
CG4995	slc25a29	Slc25a29	SLC25A29
CG5026	mtmr9	Mtmr9	MTMR9
CG5033	bop1	Bop1	BOP1
CG5037	cox10	Cox10	COX10
CG5038	tmtc4	Tmtc4	TMTC4
CG5044	hibch	Hibch	HIBCH
CG5045	clpp	Clpp	CLPP
CG5059	bnip3	Bnip3	BNIP3
CG5068	ppme1	Ppme1	PPME1
CG5087	ube3b	Ube3b	UBE3B
CG5098	tcf20	Tcf20	TCF20
CG5103	tkta	Tkt	TKT
CG5110	lamtor3	Lamtor3	LAMTOR3
CG5114	aamp	Aamp	AAMP
CG5116	gtpbp6	Gtpbp6	GTPBP6
CG5188	metap1d	Metap1d	METAP1D
CG5214	dlst	Dlst	DLST
CG5262	tmem104	Tmem104	TMEM104
CG5270	zfyve26	Zfyve26	ZFYVE26
CG5276	cant1a	Cant1	CANT1
CG5285	smug1	Smug1	SMUG1
CG5287	dpagt1	Dpagt1	DPAGT1
CG5290	ttc27	Ttc27	TTC27
CG5292	adat2	Adat2	ADAT2
CG5316	aptx	Aptx	APTX
CG5339	mettl9	Mettl9	METTL9
CG5377	bphl	Bphl	BPHL
CG5380	polr3f	Polr3f	POLR3F
CG5382	zfpl1	Zfpl1	ZFPL1
CG5439	snx29	Snx29	SNX29
CG5447	golga7	Golga7	GOLGA7
CG5493	cdo1	Cdo1	CDO1
CG5498	chmp7	Chmp7	CHMP7
CG5504	dnaja3a	Dnaja3	DNAJA3
CG5510	lman2	Lman2	LMAN2
CG5516	zcchc10	Zcchc10	ZCCHC10
CG5521	ralgapa1	Ralgapa1	RALGAPA1
CG5522	ralgps1	Ralgps1	RALGPS1
CG5532	tmem14ca	Tmem14c	TMEM14C
CG5555	brap	Brap	BRAP
CG5567	pgp	Pgp	PGP
CG5589	ddx52	Ddx52	DDX52
CG5590	hsdl2	Hsdl2	HSDL2
CG5599	dbt	Dbt	DBT
CG5608	vac14	Vac14	VAC14
CG5613	engase	Engase	ENGASE
CG5626	tsen54	Tsen54	TSEN54
CG5641	ilf2	Ilf2	ILF2
CG5645	kri1	Kri1	KRI1
CG5676	fundc1	Fundc1	FUNDC1
CG5728	pdcd11	Pdcd11	PDCD11
CG5734	snx17	Snx17	SNX17
CG5742	ankrd13c	Ankrd13c	ANKRD13C
CG5745	tbc1d22b	Tbc1d22b	TBC1D22B
CG5757	dtymk	Dtymk	DTYMK
CG5793	fahd1	Fahd1	FAHD1
CG5800	ddx10	Ddx10	DDX10
CG5808	ppil4	Ppil4	PPIL4
CG5815	spty2d1	Spty2d1	SPTY2D1
CG5823	ube2j2	Ube2j2	UBE2J2
CG5828	pank4	Pank4	PANK4
CG5830	ctdsp1	Ctdsp1	CTDSP1
CG5846	rfxank	Rfxank	RFXANK
CG5850	tmem184c	Tmem184c	TMEM184C
CG5861	tmem147	Tmem147	TMEM147
CG5862	ddrgk1	Ddrgk1	DDRGK1
CG5880	zdhhc16a	Zdhhc16	ZDHHC16
CG5885	ssr3	Ssr3	SSR3
CG5886	txlna	Txlna	TXLNA
CG5902	ammecr1	Ammecr1	AMMECR1
CG5913	fam98a	Fam98a	FAM98A
CG5916	grtp1a	Grtp1	GRTP1
CG5921	ush1c	Ush1c	USH1C
CG5961	fbxo9	Fbxo9	FBXO9
CG5989	letmd1	Letmd1	LETMD1
CG6005	wdr91	Wdr91	WDR91
CG6013	ccdc124	Ccdc124	CCDC124
CG6015	cdc40	Cdc40	CDC40
CG6051	zfyve28	Zfyve28	ZFYVE28
CG6066	nkap	Nkap	NKAP
CG6136	cutc	Cutc	CUTC
CG6144	alkbh6	Alkbh6	ALKBH6
CG6179	nosip	Nosip	NOSIP
CG6191	cables2a	Cables2	CABLES2
CG6195	drg2	Drg2	DRG2
CG6201	idua	Idua	IDUA
CG6204	znfx1	Znfx1	ZNFX1
CG6218	nagk	Nagk	NAGK
CG6227	ddx46	Ddx46	DDX46
CG6230	atp13a1	Atp13a1	ATP13A1
CG6287	phgdh	Phgdh	PHGDH
CG6325	dcaf15	Dcaf15	DCAF15
CG6340	rsrc2	Rsrc2	RSRC2
CG6345	cdk5rap1	Cdk5rap1	CDK5RAP1
CG6388	trmt1	Trmt1	TRMT1
CG6418	ddx42	Ddx42	DDX42
CG6424	fam13b	Fam13b	FAM13B
CG6479	tmem209	Tmem209	TMEM209
CG6488	cog8	Cog8	COG8
CG6512	afg3l2	Afg3l2	AFG3L2
CG6523	glrx3	Glrx3	GLRX3
CG6550	cdkal1	Cdkal1	CDKAL1
CG6565	stard7	Stard7	STARD7
CG6567	lyplal1	Lyplal1	LYPLAL1
CG6610	lsm5	Lsm5	LSM5
CG6621	ttc14	Ttc14	TTC14
CG6638	ivd	Ivd	IVD
CG6652	lca5	Lca5	LCA5
CG6659	dpy19l1l	Dpy19l1	DPY19L1
CG6674	tssc4	Tssc4	TSSC4
CG6686	sart1	Sart1	SART1
CG6693	dnajc9	Dnajc9	DNAJC9
CG6695	clasrp	Clasrp	CLASRP
CG6700	leng8	Leng8	LENG8
CG6712	rpf1	Rpf1	RPF1
CG6724	wdr12	Wdr12	WDR12
CG6752	rnf123	Rnf123	RNF123
CG6758	fbxo42	Fbxo42	FBXO42
CG6766	erlec1	Erlec1	ERLEC1
CG6767	prps1b	Prps1	PRPS1
CG6769	znf622	Zfp622	ZNF622
CG6800	cdk20	Cdk20	CDK20
CG6841	prpf6	Prpf6	PRPF6
CG6878	romo1	Romo1	ROMO1
CG6891	cotl1	Cotl1	COTL1
CG6907	elp4	Elp4	ELP4
CG6923	rnf111	Rnf111	RNF111
CG6951	dctd	Dctd	DCTD
CG6962	smpd4	Smpd4	SMPD4
CG6966	fem1c	Fem1c	FEM1C
CG7006	nip7	Nip7	NIP7
CG7011	ergic3	Ergic3	ERGIC3
CG7028	prpf4ba	Prpf4b	PRPF4B
CG7049	sumf1	Sumf1	SUMF1
CG7115	ppm1la	Ppm1l	PPM1L
CG7130	dnajb4	Dnajb4	DNAJB4
CG7139	n4bp2	N4bp2	N4BP2
CG7154	brd7	Brd7	BRD7
CG7168	commd2	Commd2	COMMD2
CG7182	hspa14	Hspa14	HSPA14
CG7218	tapt1b	Tapt1	TAPT1
CG7220	flj11011l	Ube2w	UBE2W
CG7236	cdkl1	Cdkl1	CDKL1
CG7246	utp6	Utp6	UTP6
CG7265	dph2	Dph2	DPH2
CG7275	dcaf13	Dcaf13	DCAF13
CG7322	dcxr	Dcxr	DCXR
CG7339	polr3h	Polr3h	POLR3H
CG7352	mns1	Mns1	MNS1
CG7369	rasgef1ba	Rasgef1b	RASGEF1B
CG7376	shprh	Shprh	SHPRH
CG7379	ing1	Ing1	ING1
CG7394	dnajc19	Dnajc19	DNAJC19
CG7414	eif2a	Eif2a	EIF2A
CG7430	dldh	Dld	DLD
CG7456	cog4	Cog4	COG4
CG7457	tonsl	Tonsl	TONSL
CG7461	acadvl	Acadvl	ACADVL
CG7470	aldh18a1	Aldh18a1	ALDH18A1
CG7483	eif4a3	Eif4a3	EIF4A3
CG7488	eral1	Eral1	ERAL1
CG7504	setx	Setx	SETX
CG7506	tmem70	Tmem70	TMEM70
CG7518	fam193a	Fam193a	FAM193A
CG7523	tmem192	Tmem192	TMEM192
CG7530	paqr3a	Paqr3	PAQR3
CG7544	mettl16	Mettl16	METTL16
CG7546	bag6	Bag6	BAG6
CG7550	adoa	Ado	ADO
CG7556	dnajc1	Dnajc1	DNAJC1
CG7560	mthfr	Mthfr	MTHFR
CG7582	tmem86a	Tmem86a	TMEM86A
CG7601	dhrs7b	Dhrs7b	DHRS7B
CG7611	wdr26b	Wdr26	WDR26
CG7616	adck5	Adck5	ADCK5
CG7637	nop10	Nop10	NOP10
CG7638	tmem161b	Tmem161b	TMEM161B
CG7650	pdcl	Pdcl	PDCL
CG7655	nrm	Nrm	NRM
CG7656	ube2r2	Ube2r2	UBE2R2
CG7694	rnf181	Rnf181	RNF181
CG7706	slc4a1ap	Slc4a1ap	SLC4A1AP
CG7728	bms1	Bms1	BMS1
CG7739	itfg1	Itfg1	ITFG1
CG7741	cwf19l1	Cwf19l1	CWF19L1
CG7742	tbc1d19	Tbc1d19	TBC1D19
CG7744	tmem201	Tmem201	TMEM201
CG7747	ppil2	Ppil2	PPIL2
CG7766	phka2	Phka2	PHKA2
CG7789	bpnt1	Bpnt1	BPNT1
CG7791	mipep	Mipep	MIPEP
CG7806	abcc10	Abcc10	ABCC10
CG7810	ccdc97	Ccdc97	CCDC97
CG7834	etfb	Etfb	ETFB
CG7839	cebpz	Cebpz	CEBPZ
CG7840	srd5a3	Srd5a3	SRD5A3
CG7849	trub2	Trub2	TRUB2
CG7857	otud6b	Otud6b	OTUD6B
CG7860	asrgl1	Asrgl1	ASRGL1
CG7872	dnajc25	Dnajc25	DNAJC25
CG7886	cep78	Cep78	CEP78
CG7945	bag2	Bag2	BAG2
CG7956	inpp5f	Inpp5f	INPP5F
CG7966	selenbp1	Selenbp1	SELENBP1
CG7970	pxmp2	Pxmp2	PXMP2
CG7971	srrm2	Srrm2	SRRM2
CG7987	znf516	Zfp516	ZNF516
CG7988	srrd	Srrd	SRRD
CG7997	gla	Gla	GLA
CG8001	dcaf8	Dcaf8	DCAF8
CG8003	ankmy2a	Ankmy2	ANKMY2
CG8005	dhps	Dhps	DHPS
CG8027	gnptab	Gnptab	GNPTAB
CG8031	memo1	Memo1	MEMO1
CG8038	pop4	Pop4	POP4
CG8042	ubxn4	Ubxn4	UBXN4
CG8060	ibtk	Ibtk	IBTK
CG8064	wdr3	Wdr3	WDR3
CG8078	ctu1	Ctu1	CTU1
CG8079	aggf1	Aggf1	AGGF1
CG8097	dalrd3	Dalrd3	DALRD3
CG8112	soat1	Soat1	SOAT1
CG8128	nudt6	Nudt6	NUDT6
CG8132	nit2	Nit2	NIT2
CG8135	lmbrd2b	Lmbrd2	LMBRD2
CG8142	rfc4	Rfc4	RFC4
CG8149	sarnp	Sarnp	SARNP
CG8152	gpank1	Gpank1	GPANK1
CG8155	tbc1d25	Tbc1d25	TBC1D25
CG8173	pbk	Pbk	PBK
CG8176	fcho2	Fcho2	FCHO2
CG8177	slc4a2a	Slc4a2	SLC4A2
CG8187	fam185a	Fam185a	FAM185A
CG8188	ube2s	Ube2s	UBE2S
CG8199	bckdha	Bckdha	BCKDHA
CG8204	znhit3	Znhit3	ZNHIT3
CG8207	gmppaa	Gmppa	GMPPA
CG8209	ubxn1	Ubxn1	UBXN1
CG8219	tnpo1	Tnpo1	TNPO1
CG8223	nasp	Nasp	NASP
CG8230	dym	Dym	DYM
CG8243	smap2	Smap2	SMAP2
CG8245	tmem53	Tmem53	TMEM53
CG8311	dolk	Dolk	DOLK
CG8312	fam43a	Fam43a	FAM43A
CG8314	zdhhc3b	Zdhhc3	ZDHHC3
CG8321	arl6ip6	Arl6ip6	ARL6IP6
CG8326	ccdc137	Ccdc137	CCDC137
CG8336	ppid	Ppid	PPID
CG8370	tmem131	Tmem131	TMEM131
CG8372	tmem222a	Tmem222	TMEM222
CG8412	alg12	Alg12	ALG12
CG8414	nol9	Nol9	NOL9
CG8441	prkrip1	Prkrip1	PRKRIP1
CG8460	chid1	Chid1	CHID1
CG8461	rrp36	Rrp36	RRP36
CG8475	phkb	Phkb	PHKB
CG8476	dnajc4	Dnajc4	DNAJC4
CG8485	snrka	Snrk	SNRK
CG8507	lrpap1	Lrpap1	LRPAP1
CG8531	dnajc11a	Dnajc11	DNAJC11
CG8545	nop2	Nop2	NOP2
CG8549	sbds	Sbds	SBDS
CG8569	zmynd11	Zmynd11	ZMYND11
CG8578	lrrfip2	Lrrfip2	LRRFIP2
CG8611	ddx31	Ddx31	DDX31
CG8635	zc3h15	Zc3h15	ZC3H15
CG8641	rasd1	Rasd1	RASD1
CG8671	fam102bb	Fam102b	FAM102B
CG8677	rsf1b.1	Rsf1	RSF1
CG8728	pmpca	Pmpca	PMPCA
CG8768	sdr39u1	Sdr39u1	SDR39U1
CG8778	auh	Auh	AUH
CG8833	gpatch1	Gpatch1	GPATCH1
CG8891	itpa	Itpa	ITPA
CG8892	ubxn7	Ubxn7	UBXN7
CG8939	ftsj3	Ftsj3	FTSJ3
CG8950	gtf3c3	Gtf3c3	GTF3C3
CG8963	paip1	Paip1	PAIP1
CG9003	fbxl20	Fbxl20	FBXL20
CG9004	nom1	Nom1	NOM1
CG9018	rprd1b	Rprd1b	RPRD1B
CG9044	stk11ip	Stk11ip	STK11IP
CG9062	wdr48b	Wdr48	WDR48
CG9065	cox17	Cox17	COX17
CG9067	trappc2l	Trappc2l	TRAPPC2L
CG9098	sh2d3ca	Sh2d3c	SH2D3C
CG9107	rrp7a	Rrp7a	RRP7A
CG9132	necap1	Necap1	NECAP1
CG9135	rcc2	Rcc2	RCC2
CG9143	ddx24	Ddx24	DDX24
CG9149	acat2	Acat2	ACAT2
CG9175	preb	Preb	PREB
CG9213	cwf19l2	Cwf19l2	CWF19L2
CG9220	chsy1	Chsy1	CHSY1
CG9231	fam162a	Fam162a	FAM162A
CG9240	immp1l	Immp1l	IMMP1L
CG9246	noc2l	Noc2l	NOC2L
CG9248	pld3	Pld3	PLD3
CG9253	ddx47	Ddx47	DDX47
CG9257	mlec	Mlec	MLEC
CG9272	nthl1	Nthl1	NTHL1
CG9281	abcf2a	Abcf2	ABCF2
CG9286	bccip	Bccip	BCCIP
CG9297	srl	Srl	SRL
CG9300	nol11	Nol11	NOL11
CG9302	pdia5	Pdia5	PDIA5
CG9328	fam107b	Fam107b	FAM107B
CG9344	lsm6	Lsm6	LSM6
CG9356	blzf1	Blzf1	BLZF1
CG9384	mgat4b	Mgat4b	MGAT4B
CG9389	impa2	Impa2	IMPA2
CG9391	impa1	Impa1	IMPA1
CG9393	mtx1b	Mtx1	MTX1
CG9406	efcab2	Efcab2	EFCAB2
CG9410	coq10b	Coq10b	COQ10B
CG9425	helz	Helz	HELZ
CG9426	ipp	Ipp	IPP
CG9467	kctd3	Kctd3	KCTD3
CG9471	blvrb	Blvrb	BLVRB
CG9536	tmem115	Tmem115	TMEM115
CG9547	gcdha	Gcdh	GCDH
CG9550	chst1	Chst1	CHST1
CG9577	ech1	Ech1	ECH1
CG9578	tiprl	Tiprl	TIPRL
CG9586	ccdc43	Ccdc43	CCDC43
CG9588	psmd9	Psmd9	PSMD9
CG9590	fam114a2	Fam114a2	FAM114A2
CG9596	trmt6	Trmt6	TRMT6
CG9601	pnkp	Pnkp	PNKP
CG9609	gtf3aa	Gtf3a	GTF3A
CG9630	ddx55	Ddx55	DDX55
CG9636	cuedc2	Cuedc2	CUEDC2
CG9662	ostc	Ostc	OSTC
CG9666	mettl5	Mettl5	METTL5
CG9706	slc33a1	Slc33a1	SLC33A1
CG9727	rfx5	Rfx5	RFX5
CG9773	unc50	Unc50	UNC50
CG9776	znf318	Zfp318	ZNF318
CG9799	wdr36	Wdr36	WDR36
CG9804	lipt2	Lipt2	LIPT2
CG9853	get4	Get4	GET4
CG9886	glyctk	Glyctk	GLYCTK
CG9890	znf277	Zfp277	ZNF277
CG9921	higd2a	Higd2a	HIGD2A
CG9934	ube4b	Ube4b	UBE4B
CG9941	mgrn1a	Mgrn1	MGRN1
CG9945	dcaf11	Dcaf11	DCAF11
CG9951	ccdc22	Ccdc22	CCDC22
CHMP2B	chmp2bb	Chmp2b	CHMP2B
CHORD	chordc1b	Chordc1	CHORDC1
CIA30	ndufaf1	Ndufaf1	NDUFAF1
CIAPIN1	ciapin1	Ciapin1	CIAPIN1
CLIP-190	clip1a	Clip1	CLIP1
CLS	crls1	Crls1	CRLS1
CNPYb	cnpy4	Cnpy4	CNPY4
COX5A	cox5aa	Cox5a	COX5A
COX6B	cox6b1	Cox6b1	COX6B1
CPT2	cpt2	Cpt2	CPT2
CREG	creg1	Creg1	CREG1
CRIF	gadd45gip1	Gadd45gip1	GADD45GIP1
CROT	crot	Crot	CROT
CSN3	cops3	Cops3	COPS3
CSN4	cops4	Cops4	COPS4
CSN5	cops5	Cops5	COPS5
CSN7	cops7a	Cops7a	COPS7A
CSN8	cops8	Cops8	COPS8
CTCF	ctcf	Ctcf	CTCF
CYLD	cylda	Cyld	CYLD
CaBP1	pdia6	Pdia6	PDIA6
CaMKI	camk1b	Camk1	CAMK1
CaMKII	camk2d2	Camk2d	CAMK2D
Caf1-105	chaf1b	Chaf1b	CHAF1B
Caf1-180	chaf1a	Chaf1a	CHAF1A
Caf1-55	rbb4l	Rbbp7	RBBP7
Calr	calr	Calr	CALR
Cand1	cand1	Cand1	CAND1
Cap-D2	ncapd2	Ncapd2	NCAPD2
Cap-D3	ncapd3	Ncapd3	NCAPD3
Cap-G	ncapg	Ncapg	NCAPG
Cap-H2	ncaph2	Ncaph2	NCAPH2
Caper	rbm39a	Rbm39	RBM39
Capr	caprin1a	Caprin1	CAPRIN1
Cbl	cblb	Cblb	CBLB
Cbp20	ncbp2	Ncbp2	NCBP2
Cby	cby1	Cby1	CBY1
Cc2d2a	cc2d2a	Cc2d2a	CC2D2A
Ccdc58	ccdc58	Ccdc58	CCDC58
Cchl	hccsa.1	Hccs	HCCS
Ccm3	pdcd10a	Pdcd10	PDCD10
Ccs	ccs	Ccs	CCS
Ccz1	ccz1	Ccz1	CCZ1
Cdc16	cdc16	Cdc16	CDC16
Cdc27	cdc27	Cdc27	CDC27
Cdc2rk	cdk10	Cdk10	CDK10
Cdc37	cdc37l1	Cdc37l1	CDC37L1
Cdc42	cdc42	Cdc42	CDC42
Cdc5	cdc5l	Cdc5l	CDC5L
Cdc6	cdc6	Cdc6	CDC6
Cdep	farp2	Farp2	FARP2
Cdk1	cdk1	Cdk1	CDK1
Cdk12	cdk12	Cdk12	CDK12
Cdk2	cdk2	Cdk2	CDK2
Cdk4	cdk6	Cdk6	CDK6
Cdk5	cdk5	Cdk5	CDK5
Cdk7	cdk7	Cdk7	CDK7
Cdk8	cdk8	Cdk8	CDK8
Cdk9	cdk9	Cdk9	CDK9
Cds	cds1	Cds1	CDS1
CenG1A	agap1	Agap1	AGAP1
Cep135	cep135	Cep135	CEP135
Cep97	cep97	Cep97	CEP97
Chc	cltca	Cltc	CLTC
Chchd2	chchd2	Chchd2	CHCHD2
Chchd3	chchd3a	Chchd3	CHCHD3
Chi	ldb1a	Ldb1	LDB1
Chmp1	chmp1b	Chmp1b	CHMP1B
Chrac-14	pole3	Pole3	POLE3
Chrac-16	chrac1	Chrac1	CHRAC1
Ciao1	ciao1	Ciao1	CIAO1
Cib2	cib2	Cib2	CIB2
Cip4	trip10a	Trip10	TRIP10
Cisd2	cisd2	Cisd2	CISD2
CkIIalpha	csnk2a1	Csnk2a1	CSNK2A1
