FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	MouseGeneID	MGIID	MouseSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
CG7470	40443	FBgn0037146	CG7470	Mouse	56454	1888908	Aldh18a1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7483	40987	FBgn0037573	CG7483	Mouse	192170	1923731	Eif4a3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7484	39969	FBgn0036745	CG7484	Mouse	93684	1927947	Selenof	11	10.76	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG7488	41597	FBgn0038106	CG7488	Mouse	57837	1889295	Eral1	12	11.73	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7497	39966	FBgn0036742	CG7497	Mouse	19219	104311	Ptger4	9	8.81	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, orthoMCL, Panther, Phylome
CG7504	38904	FBgn0035842	CG7504	Mouse	269254	2443480	Setx	4	3.85	high	Yes	Yes	eggNOG, Isobase, orthoMCL, Panther
CG7506	38857	FBgn0035805	CG7506	Mouse	70397	1915068	Tmem70	12	11.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7509	38579	FBgn0035575	CG7509	Mouse	74488	1921738	Lrrc15	9	8.93	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoInspector, orthoMCL, Panther, TreeFam
CG7518	41599	FBgn0038108	CG7518	Mouse	231128	2447768	Fam193a	5	4.93	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, Panther
CG7519	40377	FBgn0037087	CG7519	Mouse	67683	1914933	Pbdc1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7523	42125	FBgn0038533	CG7523	Mouse	73067	1920317	Tmem192	11	10.89	high	Yes	Yes	Compara, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7530	41784	FBgn0038256	CG7530	Mouse	231474	2679683	Paqr3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7544	36680	FBgn0033994	CG7544	Mouse	67493	1914743	Mettl16	13	12.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7546	38844	FBgn0035793	CG7546	Mouse	224727	1919439	Bag6	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7550	38901	FBgn0035839	CG7550	Mouse	211488	2685083	Ado	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7556	32902	FBgn0030990	CG7556	Mouse	13418	103268	Dnajc1	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7560	39276	FBgn0036157	CG7560	Mouse	17769	106639	Mthfr	10	9.68	high	Yes	Yes	Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7564	39956	FBgn0036734	CG7564	Mouse	66978	1914228	Luc7l	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7565	38893	FBgn0035833	CG7565	Mouse	210108	3036268	D130043K22Rik	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7582	43492	FBgn0039681	CG7582	Mouse	67893	1915143	Tmem86a	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7600	39267	FBgn0064766	CG7600	Mouse	210998	1277178	Fam91a1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7601	43502	FBgn0027583	CG7601	Mouse	216820	2384931	Dhrs7b	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7611	40386	FBgn0037094	CG7611	Mouse	226757	1923825	Wdr26	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CG7616	39260	FBgn0036142	CG7616	Mouse	268822	2679274	Adck5	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7637	36135	FBgn0033548	CG7637	Mouse	66181	1913431	Nop10	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7638	39250	FBgn0036133	CG7638	Mouse	72745	1919995	Tmem161b	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7639	36675	FBgn0033989	CG7639	Mouse	68653	1915903	Samm50	12	11.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CG7650	39694	FBgn0036519	CG7650	Mouse	67466	1914716	Pdcl	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7655	42128	FBgn0038536	CG7655	Mouse	106582	2146855	Nrm	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7656	39691	FBgn0036516	CG7656	Mouse	67615	1914865	Ube2r2	13	12.81	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7694	42230	FBgn0038627	CG7694	Mouse	66510	1913760	Rnf181	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG7706	42244	FBgn0038640	CG7706	Mouse	20534	1196608	Slc4a1ap	12	11.96	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7718	42254	FBgn0038649	CG7718	Mouse	74451	1921701	Pgs1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7724	39918	FBgn0036698	CG7724	Mouse	15492	96233	Hsd3b1	12	11.91	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG7728	39904	FBgn0036686	CG7728	Mouse	213895	2446132	Bms1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7739	39684	FBgn0036509	CG7739	Mouse	71927	106419	Itfg1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7741	36208	FBgn0033615	CG7741	Mouse	72502	1919752	Cwf19l1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7742	33750	FBgn0031690	CG7742	Mouse	67249	1914499	Tbc1d19	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7744	37239	FBgn0034447	CG7744	Mouse	230917	1196277	Tmem201	6	5.99	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
CG7747	36820	FBgn0034109	CG7747	Mouse	66053	2447857	Ppil2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7772	32776	FBgn0030883	CG7772	Mouse	67900	1916686	Mtfp1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7785	42158	FBgn0038564	CG7785	Mouse	66674	1913924	Spryd7	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7789	43516	FBgn0039698	CG7789	Mouse	23827	1338800	Bpnt1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7791	35511	FBgn0033038	CG7791	Mouse	70478	1917728	Mipep	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7806	34140	FBgn0032018	CG7806	Mouse	224814	2386976	Abcc10	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7810	34139	FBgn0032017	CG7810	Mouse	52132	1196455	Ccdc97	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7834	43515	FBgn0039697	CG7834	Mouse	110826	106098	Etfb	12	11.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7839	39240	FBgn0036124	CG7839	Mouse	12607	109386	Cebpz	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7840	34136	FBgn0032014	CG7840	Mouse	57357	1930252	Srd5a3	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7849	35537	FBgn0033060	CG7849	Mouse	227682	2442186	Trub2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7857	39671	FBgn0026738	CG7857	Mouse	72201	1919451	Otud6b	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7860	32488	FBgn0030653	CG7860	Mouse	66514	1913764	Asrgl1	11	10.73	high	Yes	Yes	Compara, eggNOG, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7872	32493	FBgn0030658	CG7872	Mouse	72429	1919679	Dnajc25	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7886	41775	FBgn0038248	CG7886	Mouse	208518	1924386	Cep78	8	7.82	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7889	32916	FBgn0031003	CG7889	Mouse	70511	1917761	Eef2kmt	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7903	43554	FBgn0039730	CG7903	Mouse	19653	1100865	Rbm4	3	2.9	moderate	Yes	No	Compara, OrthoDB, TreeFam
CG7914	32907	FBgn0030995	CG7914	Mouse	230582	1919657	Cyb5rl	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7943	43574	FBgn0039741	CG7943	Mouse	230125	2684984	Slc25a51	12	11.86	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7945	39679	FBgn0036505	CG7945	Mouse	213539	1891254	Bag2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7946	43576	FBgn0039743	CG7946	Mouse	101739	2142116	Psip1	10	9.96	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7950	43579	FBgn0260468	CG7950	Mouse	72170	1919420	Chchd4	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7956	42545	FBgn0038890	CG7956	Mouse	101490	2141867	Inpp5f	10	9.81	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7970	38205	FBgn0035252	CG7970	Mouse	19301	107487	Pxmp2	9	8.89	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
CG7971	38206	FBgn0035253	CG7971	Mouse	75956	1923206	Srrm2	6	5.94	high	Yes	Yes	eggNOG, Inparanoid, OrthoFinder, OrthoInspector, RoundUp, TreeFam
CG7974	38207	FBgn0035254	CG7974	Mouse	227707	2385132	BC005624	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7985	42178	FBgn0028499	CG7985	Mouse	238023	3605542	Hexdc	12	11.82	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7988	42180	FBgn0038582	CG7988	Mouse	70118	1917368	Srrd	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8001	38224	FBgn0035268	CG8001	Mouse	98193	91860	Dcaf8	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8003	39210	FBgn0036096	CG8003	Mouse	217473	2144755	Ankmy2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8005	38917	FBgn0035854	CG8005	Mouse	330817	2683592	Dhps	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8026	35941	FBgn0033391	CG8026	Mouse	69906	1917156	Slc25a32	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CG8027	35943	FBgn0033392	CG8027	Mouse	432486	3643902	Gnptab	11	10.82	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG8031	41601	FBgn0038110	CG8031	Mouse	76890	1924140	Memo1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8032	41026	FBgn0037606	CG8032	Mouse	212503	1916983	Paox	12	11.74	high	Yes	Yes	Compara, eggNOG, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8038	38889	FBgn0035831	CG8038	Mouse	66161	1913411	Pop4	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8042	38886	FBgn0027554	CG8042	Mouse	67812	1915062	Ubxn4	10	9.86	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8043	41030	FBgn0037610	CG8043	Mouse	216792	3041174	Iba57	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8060	36824	FBgn0034113	CG8060	Mouse	108837	1918677	Ibtk	12	11.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG8064	42196	FBgn0038597	CG8064	Mouse	269470	2443143	Wdr3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8067	36552	FBgn0033891	CG8067	Mouse	69487	1916737	Ndufaf5	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8078	35920	FBgn0033375	CG8078	Mouse	233189	2385277	Ctu1	13	12.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8079	36689	FBgn0034002	CG8079	Mouse	66549	1913799	Aggf1	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8080	35918	FBgn0033373	CG8080	Mouse	68646	1915896	Nadk2	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8097	32495	FBgn0030660	CG8097	Mouse	67789	1915039	Dalrd3	10	9.68	high	Yes	Yes	Compara, eggNOG, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8111	38881	FBgn0035825	CG8111	Mouse	74122	1921372	Tmem43	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8112	41033	FBgn0037612	CG8112	Mouse	20652	104665	Soat1	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8128	32504	FBgn0030668	CG8128	Mouse	229228	2387618	Nudt6	12	11.69	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
CG8132	41121	FBgn0037687	CG8132	Mouse	52633	1261838	Nit2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8134	32507	FBgn0030671	CG8134	Mouse	14070	95474	F8a	7	6.82	high	Yes	Yes	Compara, eggNOG, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
CG8135	41123	FBgn0037689	CG8135	Mouse	320506	2444173	Lmbrd2	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8142	32763	FBgn0030871	CG8142	Mouse	106344	2146571	Rfc4	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8149	41137	FBgn0037700	CG8149	Mouse	66118	1913368	Sarnp	8	7.78	high	Yes	Yes	eggNOG, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG8152	36696	FBgn0034008	CG8152	Mouse	81845	2148975	Gpank1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8155	36698	FBgn0034009	CG8155	Mouse	209815	2444862	Tbc1d25	13	12.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8173	32753	FBgn0030864	CG8173	Mouse	52033	1289156	Pbk	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8176	261329	FBgn0037702	CG8176	Mouse	218503	3505790	Fcho2	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8177	39147	FBgn0036043	CG8177	Mouse	20535	109351	Slc4a2	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8187	36720	FBgn0034027	CG8187	Mouse	330050	2140983	Fam185a	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8188	32751	FBgn0030863	CG8188	Mouse	77891	1925141	Ube2s	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8195	36725	FBgn0034032	CG8195	Mouse	74150	1921400	Slc35f5	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8197	35912	FBgn0033369	CG8197	Mouse	71827	1919077	Lrrc34	6	5.96	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector
CG8199	41149	FBgn0037709	CG8199	Mouse	12039	107701	Bckdha	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8204	36728	FBgn0034033	CG8204	Mouse	448850	3051596	Znhit3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8207	36730	FBgn0034035	CG8207	Mouse	69080	1916330	Gmppa	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8209	38888	FBgn0035830	CG8209	Mouse	225896	1289301	Ubxn1	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8223	41045	FBgn0037624	CG8223	Mouse	50927	1355328	Nasp	8	7.82	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG8230	35897	FBgn0027607	CG8230	Mouse	69190	1918480	Dym	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8237	35891	FBgn0033350	CG8237	Mouse	97863	2145496	Fam8a1	11	10.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG8243	35890	FBgn0033349	CG8243	Mouse	69780	1917030	Smap2	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
