FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	ZebrafishGeneID	ZFINID	ZebrafishSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
DUBAI	36361	FBgn0033738	DUBAI	Zebrafish	563778	ZDB-GENE-101007-2	usp38	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dad1	34159	FBgn0263852	Dad1	Zebrafish	566527	ZDB-GENE-060503-233	dad1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dak1	43165	FBgn0028833	Dak1	Zebrafish	406383	ZDB-GENE-040426-2113	cmpk	12	11.99	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Dap160	35378	FBgn0023388	Dap160	Zebrafish	368504	ZDB-GENE-030616-226	itsn1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dark	36914	FBgn0263864	Dark	Zebrafish	58131	ZDB-GENE-000616-4	apaf1	5	4.8	high	Yes	Yes	Compara, eggNOG, Panther, Phylome, TreeFam
Daxx	33906	FBgn0031820	Daxx	Zebrafish	561006	ZDB-GENE-010110-3	daxx	6	5.83	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther
Dbp21E2	33254	FBgn0086130	Dbp21E2	Zebrafish	768189	ZDB-GENE-061013-64	ddx28	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dbp45A	35917	FBgn0010220	Dbp45A	Zebrafish	386632	ZDB-GENE-031030-3	ddx49	13	12.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dbp73D	39871	FBgn0004556	Dbp73D	Zebrafish	445387	ZDB-GENE-040927-28	ddx51	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dbp80	3354919	FBgn0024804	Dbp80	Zebrafish	192339	ZDB-GENE-020419-30	ddx19	8	7.88	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, TreeFam
Dci	38100	FBgn0035169	Dci	Zebrafish	436918	ZDB-GENE-040718-392	eci2	6	5.85	high	Yes	Yes	eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, RoundUp
Ddx1	40457	FBgn0015075	Ddx1	Zebrafish	556790	ZDB-GENE-041001-215	ddx1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Deaf1	40164	FBgn0013799	Deaf1	Zebrafish	563776	ZDB-GENE-081022-163	deaf1	11	10.9	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Dek	47906	FBgn0026533	Dek	Zebrafish	692304	ZDB-GENE-060512-191	dek	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Der-1	33369	FBgn0267972	Der-1	Zebrafish	406753	ZDB-GENE-040426-2793	derl1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Der-2	42005	FBgn0038438	Der-2	Zebrafish	554093	ZDB-GENE-050522-90	derl2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dera	36358	FBgn0033735	Dera	Zebrafish	450077	ZDB-GENE-041010-200	dera	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Det	42077	FBgn0264291	Det	Zebrafish	246726	ZDB-GENE-030826-2	birc5b	6	5.75	high	Yes	Yes	eggNOG, OrthoDB, OrthoFinder, orthoMCL, Phylome, RoundUp
Dfd	40832	FBgn0000439	Dfd	Zebrafish	30340	ZDB-GENE-990415-105	hoxb4a	5	5.03	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp
Dg	36773	FBgn0034072	Dg	Zebrafish	286829	ZDB-GENE-021223-1	dag1	8	7.86	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Dgk	35738	FBgn0085390	Dgk	Zebrafish	724010	ZDB-GENE-060616-305	dgkaa	9	8.82	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Dgkepsilon	36408	FBgn0020930	Dgkepsilon	Zebrafish	100150463	ZDB-GENE-090512-7	dgke	9	8.79	high	Yes	Yes	eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dhap-at	53586	FBgn0040212	Dhap-at	Zebrafish	572335	ZDB-GENE-040618-4	gnpat	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dhc36C	35061	FBgn0013810	Dhc36C	Zebrafish	561639	ZDB-GENE-070912-282	dnah7	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dhc62B	38226	FBgn0013811	Dhc62B	Zebrafish	799461	ZDB-GENE-090311-9	dnah12	7	6.88	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam
Dhfr	42003	FBgn0004087	Dhfr	Zebrafish	81882	ZDB-GENE-010406-5	dhfr	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dhit	37037	FBgn0028743	Dhit	Zebrafish	436796	ZDB-GENE-040718-229	rgs17	10	9.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
Dhod	41022	FBgn0000447	Dhod	Zebrafish	494065	ZDB-GENE-030131-3157	dhodh	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
DhpD	40528	FBgn0261436	DhpD	Zebrafish	553701	ZDB-GENE-050522-434	gda	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dhpr	39050	FBgn0035964	Dhpr	Zebrafish	566323	ZDB-GENE-070705-197	qdpra	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dhx15	35654	FBgn0033160	Dhx15	Zebrafish	321931	ZDB-GENE-030131-650	dhx15	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dim1	33645	FBgn0031601	Dim1	Zebrafish	449780	ZDB-GENE-041010-25	txnl4a	9	8.82	high	Yes	Yes	Compara, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dis3	42900	FBgn0039183	Dis3	Zebrafish	100003553	ZDB-GENE-080213-3	dis3	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Dis3l2	38034	FBgn0035111	Dis3l2	Zebrafish	566106	ZDB-GENE-070705-171	dis3l2	7	7.12	high	Yes	Yes	Compara, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, Panther, RoundUp
Dl	42313	FBgn0000463	Dl	Zebrafish	30138	ZDB-GENE-990415-47	dld	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dlc90F	42199	FBgn0024432	Dlc90F	Zebrafish	565740	ZDB-GENE-041210-9	dynlt1	11	10.77	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dlg5	34573	FBgn0032363	Dlg5	Zebrafish	569065	ZDB-GENE-030131-3149	dlg5a	12	11.8	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dlic	32057	FBgn0030276	Dlic	Zebrafish	573266	ZDB-GENE-050417-156	dync1li2	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Dll	37973	FBgn0000157	Dll	Zebrafish	30561	ZDB-GENE-980526-73	dlx4a	10	9.78	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dnali1	41440	FBgn0037962	Dnali1	Zebrafish	567632	ZDB-GENE-080204-7	dnali1	12	11.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Doa	43415	FBgn0265998	Doa	Zebrafish	558981	ZDB-GENE-030131-298	clk2a	11	10.74	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dok	31667	FBgn0029944	Dok	Zebrafish	559168	ZDB-GENE-080721-2	dok1a	8	7.82	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Dop2R	33007	FBgn0053517	Dop2R	Zebrafish	378719	ZDB-GENE-030910-2	drd2b	9	8.95	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
DopEcR	38539	FBgn0035538	DopEcR	Zebrafish	101884270	ZDB-GENE-050208-696	gpr52	4	3.91	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder
Dp1	37116	FBgn0027835	Dp1	Zebrafish	794178	ZDB-GENE-030131-2032	hdlbpa	13	12.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dpck	40846	FBgn0037469	Dpck	Zebrafish	751733	ZDB-GENE-060825-226	dcakd	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dph1	39317	FBgn0036194	Dph1	Zebrafish	550559	ZDB-GENE-050417-411	dph1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dph5	42663	FBgn0024558	Dph5	Zebrafish	492514	ZDB-GENE-041114-85	dph5	11	10.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Dpit47	35565	FBgn0266518	Dpit47	Zebrafish	393981	ZDB-GENE-040426-1021	ttc4	10	9.72	high	Yes	Yes	Compara, eggNOG, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
DppIII	40996	FBgn0037580	DppIII	Zebrafish	322527	ZDB-GENE-030131-1247	dpp3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dr	45285	FBgn0000492	Dr	Zebrafish	30526	ZDB-GENE-980526-306	msx3	7	6.92	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam
Drak	32097	FBgn0052666	Drak	Zebrafish	393507	ZDB-GENE-040426-1499	stk17b	8	7.9	high	Yes	Yes	eggNOG, Homologene, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Drat	35687	FBgn0033188	Drat	Zebrafish	368752	ZDB-GENE-030616-178	vat1	2	1.83	high	Yes	Yes	Compara, eggNOG
Drep4	34734	FBgn0028406	Drep4	Zebrafish	373130	ZDB-GENE-030826-4	dffb	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Drgx	5740176	FBgn0085369	Drgx	Zebrafish	560399	ZDB-GENE-070330-1	drgx	7	7.09	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoInspector, Panther, RoundUp
Drip	36236	FBgn0015872	Drip	Zebrafish	445293	ZDB-GENE-040724-152	aqp4	11	10.96	high	Yes	Yes	eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Droj2	41646	FBgn0038145	Droj2	Zebrafish	323922	ZDB-GENE-030131-2642	dnaja1	9	8.72	high	Yes	Yes	Compara, eggNOG, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Dronc	39173	FBgn0026404	Dronc	Zebrafish	373118	ZDB-GENE-030825-3	casp2	5	4.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, TreeFam
Drp1	33445	FBgn0026479	Drp1	Zebrafish	393896	ZDB-GENE-040426-1556	dnm1l	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dsor1	31872	FBgn0010269	Dsor1	Zebrafish	563181	ZDB-GENE-041027-1	map2k2a	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dsp1	117294	FBgn0278608	Dsp1	Zebrafish	447936	ZDB-GENE-040912-122	hmgb2b	10	9.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Dtd	41371	FBgn0037898	Dtd	Zebrafish	445046	ZDB-GENE-040801-175	dtd1	13	12.9	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
Duba	39302	FBgn0036180	Duba	Zebrafish	555459	ZDB-GENE-030616-61	otud5a	10	9.78	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Duox	33477	FBgn0283531	Duox	Zebrafish	565097	ZDB-GENE-091117-14	duox	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dyb	36362	FBgn0033739	Dyb	Zebrafish	559786	ZDB-GENE-070117-3	dtnbb	13	12.84	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Dyrk2	34831	FBgn0016930	Dyrk2	Zebrafish	564976	ZDB-GENE-091015-3	dyrk4	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dyrk3	3885567	FBgn0027101	Dyrk3	Zebrafish	557602	ZDB-GENE-030131-2804	dyrk2	11	10.81	high	Yes	Yes	eggNOG, Hieranoid, Homologene, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Dysb	40052	FBgn0036819	Dysb	Zebrafish	394109	ZDB-GENE-040426-1036	dtnbp1a	10	9.66	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, TreeFam
E(Pc)	36238	FBgn0000581	E(Pc)	Zebrafish	566686	ZDB-GENE-070629-5	epc1a	10	9.78	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
E(bx)	44811	FBgn0000541	E(bx)	Zebrafish	324479	ZDB-GENE-030131-3200	bptf	12	11.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
E(z)	39203	FBgn0000629	E(z)	Zebrafish	768133	ZDB-GENE-041111-259	ezh2	12	11.84	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
E2f2	35381	FBgn0024371	E2f2	Zebrafish	402908	ZDB-GENE-030828-3	e2f5	8	7.91	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
ECSIT	40732	FBgn0028436	ECSIT	Zebrafish	569243	ZDB-GENE-030131-1332	ecsit	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EDTP	36959	FBgn0027506	EDTP	Zebrafish	323929	ZDB-GENE-030131-2649	mtmr14	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EMC1	40933	FBgn0037530	EMC1	Zebrafish	565399	ZDB-GENE-060810-98	emc1	11	10.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EMC8-9	37635	FBgn0034791	EMC8-9	Zebrafish	393094	ZDB-GENE-040426-693	emc9	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EMRE	37071	FBgn0062440	EMRE	Zebrafish	100000862	ZDB-GENE-141212-9	smdt1b	6	6.04	high	Yes	Yes	Compara, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther
ERR	38912	FBgn0035849	ERR	Zebrafish	405890	ZDB-GENE-030821-2	esrrga	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
ERp60	36270	FBgn0033663	ERp60	Zebrafish	378851	ZDB-GENE-031002-9	pdia3	8	7.89	high	Yes	Yes	Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam
Eaat1	34251	FBgn0026439	Eaat1	Zebrafish	323439	ZDB-GENE-030131-2159	slc1a3a	10	9.91	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
Eaf	35660	FBgn0033166	Eaf	Zebrafish	415205	ZDB-GENE-040625-109	eaf1	11	10.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Eaf6	38637	FBgn0035624	Eaf6	Zebrafish	445300	ZDB-GENE-040808-12	meaf6	11	10.79	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EcR	35540	FBgn0000546	EcR	Zebrafish	548341	ZDB-GENE-050410-7	nr1h3	8	7.97	high	Yes	Yes	Compara, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp
Echs1	36536	FBgn0033879	Echs1	Zebrafish	368912	ZDB-GENE-030616-617	echs1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ect4	38895	FBgn0262579	Ect4	Zebrafish	403143	ZDB-GENE-040219-1	sarm1	11	10.74	high	Yes	Yes	Compara, eggNOG, Homologene, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Edc3	39957	FBgn0036735	Edc3	Zebrafish	504054	ZDB-GENE-050522-287	edc3	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Edem1	31154	FBgn0023511	Edem1	Zebrafish	402801	ZDB-GENE-060519-1	edem2	8	7.87	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
Efa6	42665	FBgn0051158	Efa6	Zebrafish	557199	ZDB-GENE-030131-3033	psd2	9	8.8	high	Yes	Yes	eggNOG, Hieranoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Egfr	37455	FBgn0003731	Egfr	Zebrafish	386635	ZDB-GENE-030916-3	erbb3a	9	8.78	high	Yes	Yes	eggNOG, Homologene, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Ehbp1	36912	FBgn0034180	Ehbp1	Zebrafish	100331563	ZDB-GENE-091204-238	ehbp1l1b	10	9.76	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Eip55E	37143	FBgn0000566	Eip55E	Zebrafish	322055	ZDB-GENE-030131-774	cth	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Eip63E	38433	FBgn0005640	Eip63E	Zebrafish	791619	ZDB-GENE-060421-7193	cdk15	11	10.79	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Eip71CD	39675	FBgn0000565	Eip71CD	Zebrafish	793910	ZDB-GENE-041014-344	msra	11	10.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp
Eip74EF	39962	FBgn0000567	Eip74EF	Zebrafish	387534	ZDB-GENE-031215-1	elf2b	7	6.89	high	Yes	Yes	eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Eip75B	39999	FBgn0000568	Eip75B	Zebrafish	563298	ZDB-GENE-041210-169	pparaa	4	4.13	high	Yes	Yes	OrthoFinder, OrthoInspector, Panther, RoundUp
Eip93F	44936	FBgn0264490	Eip93F	Zebrafish	558560	ZDB-GENE-061201-6	lcor	4	4.06	high	Yes	Yes	Compara, OrthoFinder, Panther, RoundUp
Elk	37047	FBgn0011589	Elk	Zebrafish	567442	ZDB-GENE-121214-54	kcnh4b	10	9.85	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
Elo68alpha	317841	FBgn0052072	Elo68alpha	Zebrafish	335732	ZDB-GENE-030131-7672	elovl4b	10	9.84	moderate	Yes	No	eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
Elp2	36123	FBgn0033540	Elp2	Zebrafish	560338	ZDB-GENE-060503-525	elp2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Elp3	33649	FBgn0031604	Elp3	Zebrafish	541509	ZDB-GENE-050327-35	elp3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Elys	32971	FBgn0031052	Elys	Zebrafish	553494	ZDB-GENE-070521-2	ahctf1	11	10.88	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
EndoA	42265	FBgn0038659	EndoA	Zebrafish	393150	ZDB-GENE-040121-4	sh3gl3b	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
EndoB	37218	FBgn0034433	EndoB	Zebrafish	394094	ZDB-GENE-040426-833	sh3glb2b	12	11.87	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Eno	33351	FBgn0000579	Eno	Zebrafish	334116	ZDB-GENE-030131-6048	eno1a	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
Ent3	39461	FBgn0036319	Ent3	Zebrafish	559668	ZDB-GENE-070112-1932	slc29a4	13	12.89	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
Eogt	33424	FBgn0264672	Eogt	Zebrafish	798087	ZDB-GENE-120813-8	eogt	12	11.72	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
