FlyGeneID	FlyGeneID.1	FlyBaseID	FlySymbol	Species	HumanGeneID	HGNCID	HumanSymbol	DIOPTScore	WeightedScore	Rank	BestScore	BestScoreReverse	PredictionDerivedFrom
CG6424	37012	FBgn0028494	CG6424	Human	10144	19367	FAM13A	7	6.92	high	Yes	Yes	Compara, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG6432	42901	FBgn0039184	CG6432	Human	79611	24723	ACSS3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6454	42904	FBgn0039187	CG6454	Human	9847	29062	C2CD5	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6479	39930	FBgn0036710	CG6479	Human	84928	21898	TMEM209	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6488	34571	FBgn0032361	CG6488	Human	84342	18623	COG8	12	11.76	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG6495	34486	FBgn0027550	CG6495	Human	84918	16936	LRP11	7	7.05	high	Yes	Yes	Hieranoid, Inparanoid, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
CG6511	38997	FBgn0035923	CG6511	Human	26098	24640	EDRF1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6512	39922	FBgn0036702	CG6512	Human	10939	315	AFG3L2	14	13.82	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6523	34745	FBgn0032509	CG6523	Human	10539	15987	GLRX3	13	12.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6550	36954	FBgn0034214	CG6550	Human	54901	21050	CDKAL1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6553	36537	FBgn0033880	CG6553	Human	143458	27046	LDLRAD3	3	3	high	Yes	Yes	eggNOG, OrthoFinder, Panther
CG6565	34749	FBgn0032513	CG6565	Human	56910	18063	STARD7	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6567	41304	FBgn0037842	CG6567	Human	127018	20440	LYPLAL1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6607	42925	FBgn0039204	CG6607	Human	129285	30595	PPP1R21	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6610	38693	FBgn0035675	CG6610	Human	23658	17162	LSM5	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6621	41319	FBgn0037855	CG6621	Human	151613	24697	TTC14	11	10.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6638	38979	FBgn0035911	CG6638	Human	3712	6186	IVD	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6650	39555	FBgn0036402	CG6650	Human	83440	25250	ADPGK	8	7.77	high	Yes	Yes	eggNOG, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, TreeFam
CG6652	39905	FBgn0036687	CG6652	Human	167691	31923	LCA5	7	6.82	high	Yes	Yes	Compara, eggNOG, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam
CG6659	32854	FBgn0030946	CG6659	Human	23333	22205	DPY19L1	10	9.9	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG6664	39903	FBgn0036685	CG6664	Human	8030	18782	CCDC6	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6665	36903	FBgn0034172	CG6665	Human	25912	29876	C1orf43	12	11.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6674	39174	FBgn0036063	CG6674	Human	10078	12386	TSSC4	8	7.77	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG6678	42581	FBgn0038917	CG6678	Human	91433	30457	RCCD1	10	9.69	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam
CG6686	34608	FBgn0032388	CG6686	Human	9092	10538	SART1	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6688	42716	FBgn0039038	CG6688	Human	9351	11076	SLC9A3R2	3	2.95	moderate	Yes	No	eggNOG, Isobase, Panther
CG6693	41346	FBgn0037878	CG6693	Human	23234	19123	DNAJC9	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6695	42937	FBgn0039215	CG6695	Human	11129	17731	CLASRP	10	9.79	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoFinder, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6700	34496	FBgn0032305	CG6700	Human	114823	15500	LENG8	11	10.86	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6712	34631	FBgn0032408	CG6712	Human	80135	30350	RPF1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6724	34488	FBgn0032298	CG6724	Human	55759	14098	WDR12	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6729	34484	FBgn0032296	CG6729	Human	55181	25551	SMG8	12	11.94	high	Yes	Yes	Compara, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG6739	34037	FBgn0031926	CG6739	Human	51293	16692	CD320	3	2.91	high	Yes	Yes	eggNOG, Panther, Phylome
CG6752	41826	FBgn0038296	CG6752	Human	63891	21148	RNF123	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6758	37532	FBgn0034704	CG6758	Human	54455	29249	FBXO42	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6761	39134	FBgn0036031	CG6761	Human	84542	29387	KIAA1841	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6762	32768	FBgn0030876	CG6762	Human	140809	16132	SRXN1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6766	34619	FBgn0032398	CG6766	Human	27248	25222	ERLEC1	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6769	32770	FBgn0030878	CG6769	Human	90441	30958	ZNF622	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6770	34621	FBgn0032400	CG6770	Human	26471	29990	NUPR1	8	7.73	high	Yes	Yes	Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, orthoMCL, RoundUp, TreeFam
CG6800	42562	FBgn0038902	CG6800	Human	23552	21420	CDK20	14	13.75	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6833	39559	FBgn0036405	CG6833	Human	57109	12820	REXO4	13	12.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6836	40070	FBgn0036834	CG6836	Human	200931	29955	SLC51A	6	5.99	high	Yes	Yes	Hieranoid, OMA, OrthoDB, Panther, Phylome, TreeFam
CG6841	40064	FBgn0036828	CG6841	Human	24148	15860	PRPF6	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6843	40062	FBgn0036827	CG6843	Human	9541	24217	CIR1	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6867	32782	FBgn0030887	CG6867	Human	342035	29514	GLDN	7	6.99	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoFinder, Panther, Phylome, RoundUp
CG6870	35067	FBgn0032652	CG6870	Human	1528	2570	CYB5A	7	6.93	moderate	Yes	No	Compara, eggNOG, OrthoDB, OrthoFinder, Panther, RoundUp, TreeFam
CG6878	39656	FBgn0036488	CG6878	Human	140823	16185	ROMO1	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6891	32865	FBgn0030955	CG6891	Human	23406	18304	COTL1	12	11.86	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam
CG6903	31423	FBgn0029737	CG6903	Human	138050	26527	HGSNAT	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6907	33775	FBgn0031711	CG6907	Human	26610	1171	ELP4	12	11.79	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6910	39391	FBgn0036262	CG6910	Human	55586	14522	MIOX	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6923	41420	FBgn0037944	CG6923	Human	54778	17384	RNF111	7	6.86	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoInspector, RoundUp
CG6931	39363	FBgn0036236	CG6931	Human	25941	24561	TPGS2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6937	42662	FBgn0038989	CG6937	Human	84365	17838	NIFK	9	8.85	high	Yes	Yes	eggNOG, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6951	40222	FBgn0036959	CG6951	Human	1635	2710	DCTD	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6962	41436	FBgn0037958	CG6962	Human	55627	32949	SMPD4	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6966	41816	FBgn0038286	CG6966	Human	56929	16933	FEM1C	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6972	42684	FBgn0039008	CG6972	Human	27351	24577	DESI1	3	2.73	high	Yes	Yes	Compara, eggNOG, orthoMCL
CG6978	31413	FBgn0029727	CG6978	Human	10246	10930	SLC17A2	6	5.89	high	Yes	Yes	Compara, eggNOG, Isobase, OrthoDB, OrthoFinder, Panther
CG6983	38964	FBgn0035896	CG6983	Human	54976	15873	C20orf27	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG6984	36926	FBgn0034191	CG6984	Human	79746	23489	ECHDC3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7006	42963	FBgn0039233	CG7006	Human	51388	24328	NIP7	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7011	39657	FBgn0036489	CG7011	Human	51614	15927	ERGIC3	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7024	31407	FBgn0029722	CG7024	Human	5160	8806	PDHA1	10	9.66	moderate	Yes	No	Compara, eggNOG, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG7028	38032	FBgn0027587	CG7028	Human	8899	17346	PRPF4B	12	11.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG7044	42497	FBgn0038854	CG7044	Human	221927	21701	BRAT1	7	7.03	high	Yes	Yes	Compara, Hieranoid, OrthoDB, OrthoFinder, Panther, RoundUp, TreeFam
CG7049	38022	FBgn0035102	CG7049	Human	285362	20376	SUMF1	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7083	38943	FBgn0035877	CG7083	Human	80262	29564	C16orf70	13	12.77	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG7099	34753	FBgn0032517	CG7099	Human	2975	4664	GTF3C1	11	10.79	high	Yes	Yes	Compara, eggNOG, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7102	34079	FBgn0031961	CG7102	Human	149478	27145	BTBD19	6	5.72	high	Yes	Yes	eggNOG, Homologene, Inparanoid, orthoMCL, Phylome, TreeFam
CG7115	34069	FBgn0027515	CG7115	Human	151742	16381	PPM1L	14	13.74	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7130	40450	FBgn0037151	CG7130	Human	11080	14886	DNAJB4	3	2.83	moderate	Yes	No	Compara, eggNOG, OrthoFinder
CG7131	42197	FBgn0038598	CG7131	Human	283726	33727	SAXO2	9	9.04	high	Yes	Yes	Compara, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp
CG7137	37204	FBgn0034422	CG7137	Human	23378	29030	RRP8	11	10.78	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7139	40448	FBgn0027532	CG7139	Human	55728	29851	N4BP2	12	11.81	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7154	34062	FBgn0031947	CG7154	Human	29117	14310	BRD7	12	11.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7156	42187	FBgn0038588	CG7156	Human	83694	20222	RPS6KL1	12	11.85	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
CG7168	42184	FBgn0038586	CG7168	Human	51122	24993	COMMD2	13	12.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7182	38944	FBgn0035878	CG7182	Human	51182	29526	HSPA14	6	5.81	high	Yes	Yes	Compara, eggNOG, OrthoDB, Panther, Phylome, TreeFam
CG7183	42181	FBgn0038583	CG7183	Human	51244	28033	CCDC174	12	11.8	high	Yes	Yes	Compara, eggNOG, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7206	32788	FBgn0030892	CG7206	Human	54823	16785	SWT1	8	7.77	high	Yes	Yes	Compara, eggNOG, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp
CG7215	3772662	FBgn0038571	CG7215	Human	8266	12505	UBL4A	10	9.86	high	Yes	Yes	eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7218	42165	FBgn0038569	CG7218	Human	202018	26887	TAPT1	13	12.71	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG7220	36129	FBgn0033544	CG7220	Human	55284	25616	UBE2W	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7231	34086	FBgn0031968	CG7231	Human	167555	33716	FAM151B	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7236	33798	FBgn0031730	CG7236	Human	8814	1781	CDKL1	12	11.97	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam
CG7246	31833	FBgn0030081	CG7246	Human	55813	18279	UTP6	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7264	39339	FBgn0036214	CG7264	Human	26150	13241	RIBC2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7265	41802	FBgn0038272	CG7265	Human	1802	3004	DPH2	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7275	39669	FBgn0036500	CG7275	Human	25879	24535	DCAF13	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7289	33372	FBgn0031379	CG7289	Human	90231	28513	KIAA2013	13	12.79	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7322	32880	FBgn0030968	CG7322	Human	51181	18985	DCXR	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7332	32885	FBgn0030973	CG7332	Human	80013	23578	MINDY3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7339	39310	FBgn0036188	CG7339	Human	171568	30349	POLR3H	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7352	40997	FBgn0037581	CG7352	Human	55329	29636	MNS1	4	3.91	high	Yes	Yes	eggNOG, OrthoDB, orthoMCL, Panther
CG7376	38715	FBgn0035689	CG7376	Human	257218	19336	SHPRH	12	11.9	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam
CG7378	32888	FBgn0030976	CG7378	Human	51207	19681	DUSP13	8	7.99	high	Yes	Yes	eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoInspector, orthoMCL, Panther, RoundUp
CG7379	42140	FBgn0038546	CG7379	Human	3621	6062	ING1	11	10.9	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, Panther, Phylome, RoundUp, TreeFam
CG7382	33772	FBgn0031708	CG7382	Human	29090	25010	TIMM21	13	12.8	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7394	39294	FBgn0036173	CG7394	Human	131118	30528	DNAJC19	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7402	39994	FBgn0036768	CG7402	Human	411	714	ARSB	11	10.61	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Phylome, TreeFam
CG7407	40430	FBgn0037134	CG7407	Human	439921	7541	MXRA7	3	2.96	high	Yes	Yes	eggNOG, Panther, TreeFam
CG7414	40431	FBgn0037135	CG7414	Human	83939	3254	EIF2A	12	11.87	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, TreeFam
CG7430	39988	FBgn0036762	CG7430	Human	1738	2898	DLD	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7456	34442	FBgn0032258	CG7456	Human	25839	18620	COG4	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7457	38865	FBgn0035812	CG7457	Human	4796	7801	TONSL	13	12.87	high	Yes	Yes	eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7461	37217	FBgn0034432	CG7461	Human	37	92	ACADVL	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7470	40443	FBgn0037146	CG7470	Human	5832	9722	ALDH18A1	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7483	40987	FBgn0037573	CG7483	Human	9775	18683	EIF4A3	15	14.75	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7484	39969	FBgn0036745	CG7484	Human	9403	17705	SELENOF	12	11.77	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam
CG7488	41597	FBgn0038106	CG7488	Human	26284	3424	ERAL1	13	12.74	high	Yes	Yes	Compara, eggNOG, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
CG7504	38904	FBgn0035842	CG7504	Human	23064	445	SETX	7	6.82	high	Yes	Yes	eggNOG, Inparanoid, Isobase, OrthoDB, orthoMCL, Panther, Phylome
CG7506	38857	FBgn0035805	CG7506	Human	54968	26050	TMEM70	14	13.8	high	Yes	Yes	Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam
